"Household Income in Chicago Community Areas
Note: All data are adjusted to year 2014 dollars.",,,,,,,
,1970,1980,1990,2000,2008-2012,2009-2013, 2010-2014 
"$50,000 to $59,999",,,"  1,229 ","  1,761 ","  1,571 ","  1,337 ","  1,186 "
"$60,000 to $74,999",,,  888 ,"  1,750 ","  2,176 ","  1,913 ","  2,043 "
"$75,000 to $99,999",,,  693 ,"  1,860 ","  2,375 ","  2,231 ","  2,249 "
"$100,000 to $124,999",,,  176 ,  825 ,"  1,266 ","  1,473 ","  1,343 "
"$125,000 to $149,999",,,  50 ,  428 ,  840 ,  903 ,  999 
"$150,000 to $199,999",,,  108 ,  303 ,"  1,049 ","  1,107 ","  1,126 "
"$200,000 or more",,,,  322 ,"  1,125 ","  1,349 ","  1,447 "
Median household income,"$52,570","$47,974","$48,581","$58,130","$61,978","$61,900","$62,076"
,,,,,,,
5. North Center,,,,,,,
Total,"  14,519 ","  14,067 ","  13,761 ","  14,807 ","  14,724 ","  14,930 ","  14,670 "
"Less than $10,000",,,"  2,017 ",  998 ,  638 ,  604 ,  563 
"$10,000 to $14,999",,,"  1,069 ",  586 ,  306 ,  263 ,  195 
"$15,000 to $19,999",,,"  1,404 ",  604 ,  342 ,  393 ,  333 
"$20,000 to $24,999",,,"  1,416 ",  711 ,  510 ,  330 ,  437 
"$25,000 to $29,999",,,"  1,196 ",  873 ,  425 ,  445 ,  357 
"$30,000 to $34,999",,,"  1,141 ",  835 ,  416 ,  417 ,  395 
"$35,000 to $39,999",,,"  1,070 ",  878 ,  411 ,  383 ,  393 
"$40,000 to $44,999",,,  942 ,  795 ,  450 ,  510 ,  522 
"$45,000 to $49,999",,,  663 ,  809 ,  549 ,  537 ,  436 
"$50,000 to $59,999",,,"  1,105 ","  1,521 ",  918 ,"  1,015 ",  869 
"$60,000 to $74,999",,,  893 ,"  1,539 ","  1,566 ","  1,607 ","  1,472 "
"$75,000 to $99,999",,,  525 ,"  1,759 ","  1,738 ","  1,864 ","  2,021 "
"$100,000 to $124,999",,,  171 ,"  1,156 ","  1,664 ","  1,670 ","  1,719 "
"$125,000 to $149,999",,,  67 ,  574 ,"  1,023 ","  1,042 ","  1,032 "
"$150,000 to $199,999",,,  82 ,  594 ,"  1,331 ","  1,377 ","  1,336 "
"$200,000 or more",,,,  575 ,"  2,437 ","  2,473 ","  2,590 "
Median household income,"$49,823","$47,721","$53,371","$73,565","$87,986","$87,624","$90,279"
,,,,,,,
6. Lake View,,,,,,,
Total,"  52,441 ","  52,167 ","  53,061 ","  57,007 ","  52,568 ","  52,344 ","  52,225 "
"Less than $10,000",,,"  6,722 ","  3,793 ","  4,003 ","  4,334 ","  3,709 "
"$10,000 to $14,999",,,"  3,740 ","  2,409 ","  1,749 ","  1,775 ","  1,675 "
"$15,000 to $19,999",,,"  4,112 ","  2,032 ","  1,596 ","  1,438 ","  1,510 "
"$20,000 to $24,999",,,"  5,240 ","  2,393 ","  1,596 ","  1,557 ","  1,579 "
"$25,000 to $29,999",,,"  4,698 ","  2,767 ","  1,628 ","  1,536 ","  1,722 "
"$30,000 to $34,999",,,"  4,460 ","  3,503 ","  1,816 ","  1,753 ","  1,288 "
"$35,000 to $39,999",,,"  3,868 ","  3,492 ","  1,751 ","  1,691 ","  1,844 "
"$40,000 to $44,999",,,"  3,036 ","  3,345 ","  2,230 ","  2,298 ","  2,231 "
"$45,000 to $49,999",,,"  2,589 ","  2,699 ","  2,114 ","  1,972 ","  1,909 "
"$50,000 to $59,999",,,"  3,750 ","  4,806 ","  3,895 ","  3,610 ","  3,562 "
"$60,000 to $74,999",,,"  4,027 ","  5,968 ","  4,731 ","  4,723 ","  4,837 "
"$75,000 to $99,999",,,"  2,912 ","  7,349 ","  6,451 ","  6,281 ","  6,421 "
"$100,000 to $124,999",,,"  1,531 ","  4,384 ","  5,091 ","  5,196 ","  5,575 "
"$125,000 to $149,999",,,  735 ,"  2,254 ","  3,123 ","  3,123 ","  3,278 "
"$150,000 to $199,999",,,"  1,641 ","  2,563 ","  4,256 ","  3,986 ","  3,934 "
"$200,000 or more",,,,"  3,250 ","  6,538 ","  7,071 ","  7,151 "
Median household income,"$44,837","$48,351","$58,774","$76,583","$74,172","$74,252","$75,730"
,,,,,,,
7. Lincoln Park,,,,,,,
