"Household Income in Chicago Community Areas
Note: All data are adjusted to year 2014 dollars.",,,,,,,
,1970,1980,1990,2000,2008-2012,2009-2013, 2010-2014 
"$100,000 to $124,999",,,  224 ,"  1,047 ","  1,644 ","  1,661 ","  1,705 "
"$125,000 to $149,999",,,  69 ,  399 ,  843 ,  836 ,  976 
"$150,000 to $199,999",,,  55 ,  273 ,  651 ,  552 ,  641 
"$200,000 or more",,,,  134 ,  352 ,  345 ,  368 
Median household income,"$65,185","$63,842","$65,510","$70,167","$63,054","$61,276","$60,945"
,,,,,,,
18. Montclare,,,,,,,
Total,"  4,070 ","  4,103 ","  4,044 ","  4,125 ","  4,425 ","  4,350 ","  4,403 "
"Less than $10,000",,,  404 ,  197 ,  437 ,  364 ,  445 
"$10,000 to $14,999",,,  337 ,  240 ,  168 ,  207 ,  232 
"$15,000 to $19,999",,,  333 ,  214 ,  343 ,  301 ,  227 
"$20,000 to $24,999",,,  312 ,  277 ,  238 ,  218 ,  172 
"$25,000 to $29,999",,,  364 ,  250 ,  350 ,  405 ,  457 
"$30,000 to $34,999",,,  402 ,  279 ,  227 ,  283 ,  262 
"$35,000 to $39,999",,,  289 ,  318 ,  308 ,  236 ,  322 
"$40,000 to $44,999",,,  346 ,  200 ,  236 ,  220 ,  279 
"$45,000 to $49,999",,,  249 ,  248 ,  98 ,  138 ,  154 
"$50,000 to $59,999",,,  365 ,  441 ,  440 ,  457 ,  457 
"$60,000 to $74,999",,,  337 ,  366 ,  381 ,  342 ,  188 
"$75,000 to $99,999",,,  236 ,  561 ,  483 ,  488 ,  546 
"$100,000 to $124,999",,,  48 ,  386 ,  354 ,  351 ,  354 
"$125,000 to $149,999",,,  16 ,  75 ,  164 ,  139 ,  135 
"$150,000 to $199,999",,,  6 ,  65 ,  83 ,  106 ,  67 
"$200,000 or more",,,,  8 ,  115 ,  95 ,  106 
Median household income,"$61,051","$59,981","$61,099","$66,285","$44,196","$44,262","$41,387"
,,,,,,,
19. Belmont Cragin,,,,,,,
Total,"  20,720 ","  21,294 ","  20,157 ","  21,916 ","  21,570 ","  21,511 ","  21,506 "
"Less than $10,000",,,"  2,637 ","  1,685 ","  1,453 ","  1,245 ","  1,166 "
"$10,000 to $14,999",,,"  1,820 ","  1,184 ","  1,336 ","  1,388 ","  1,414 "
"$15,000 to $19,999",,,"  1,868 ","  1,156 ","  1,540 ","  1,337 ","  1,357 "
"$20,000 to $24,999",,,"  1,975 ","  1,222 ","  1,440 ","  1,539 ","  1,603 "
"$25,000 to $29,999",,,"  1,810 ","  1,589 ","  1,519 ","  1,550 ","  1,513 "
"$30,000 to $34,999",,,"  1,812 ","  1,548 ","  1,401 ","  1,490 ","  1,466 "
"$35,000 to $39,999",,,"  1,797 ","  1,581 ","  1,480 ","  1,567 ","  1,427 "
"$40,000 to $44,999",,,"  1,523 ","  1,503 ","  1,326 ","  1,276 ","  1,246 "
"$45,000 to $49,999",,,"  1,082 ","  1,294 ","  1,077 ","  1,051 ",  959 
"$50,000 to $59,999",,,"  1,611 ","  2,604 ","  2,198 ","  2,070 ","  2,248 "
"$60,000 to $74,999",,,"  1,218 ","  2,458 ","  2,123 ","  2,210 ","  2,210 "
"$75,000 to $99,999",,,  619 ,"  2,221 ","  2,196 ","  2,048 ","  2,069 "
"$100,000 to $124,999",,,  209 ,  873 ,"  1,330 ","  1,499 ","  1,459 "
"$125,000 to $149,999",,,  93 ,  438 ,  644 ,  675 ,  678 
"$150,000 to $199,999",,,  83 ,  351 ,  433 ,  512 ,  585 
"$200,000 or more",,,,  209 ,  74 ,  54 ,  106 
Median household income,"$56,368","$55,554","$55,139","$61,343","$43,486","$43,051","$43,103"
,,,,,,,
20. Hermosa,,,,,,,
Total,"  7,090 ","  7,089 ","  6,724 ","  7,202 ","  7,070 ","  6,948 ","  6,923 "
"Less than $10,000",,,"  1,176 ",  823 ,  501 ,  531 ,  564 
"$10,000 to $14,999",,,  585 ,  469 ,  388 ,  350 ,  424 
"$15,000 to $19,999",,,  607 ,  543 ,  509 ,  567 ,  576 
"$20,000 to $24,999",,,  785 ,  585 ,  418 ,  491 ,  490 
"$25,000 to $29,999",,,  567 ,  460 ,  592 ,  600 ,  589 
"$30,000 to $34,999",,,  491 ,  351 ,  528 ,  581 ,  586 
"$35,000 to $39,999",,,  622 ,  557 ,  512 ,  509 ,  466 
"$40,000 to $44,999",,,  458 ,  494 ,  362 ,  318 ,  329 
"$45,000 to $49,999",,,  299 ,  433 ,  325 ,  274 ,  256 
"$50,000 to $59,999",,,  546 ,  673 ,  722 ,  572 ,  499 
"$60,000 to $74,999",,,  341 ,  772 ,  852 ,  821 ,  776 
"$75,000 to $99,999",,,  115 ,  605 ,  731 ,  637 ,  676 
"$100,000 to $124,999",,,  97 ,  229 ,  259 ,  306 ,  327 
"$125,000 to $149,999",,,  21 ,  92 ,  194 ,  203 ,  196 
"$150,000 to $199,999",,,  14 ,  47 ,  161 ,  171 ,  124 
"$200,000 or more",,,,  69 ,  16 ,  17 ,  45 
Median household income,"$53,546","$49,940","$49,304","$54,237","$42,383","$38,954","$37,327"
,,,,,,,
21. Avondale,,,,,,,
Total,"  13,318 ","  13,160 ","  12,726 ","  13,738 ","  13,801 ","  13,707 ","  13,560 "
"Less than $10,000",,,"  2,190 ","  1,403 ",  980 ,"  1,045 ","  1,007 "
"$10,000 to $14,999",,,"  1,319 ","  1,037 ",  761 ,  787 ,  714 
"$15,000 to $19,999",,,"  1,256 ",  871 ,  645 ,  686 ,  786 
"$20,000 to $24,999",,,"  1,169 ","  1,047 ",  893 ,  792 ,  898 
"$25,000 to $29,999",,,"  1,218 ","  1,073 ",  750 ,  900 ,  991 
"$30,000 to $34,999",,,"  1,070 ","  1,065 ",  941 ,  985 ,  920 
"$35,000 to $39,999",,,  984 ,"  1,014 ",  801 ,  801 ,  780 
"$40,000 to $44,999",,,  736 ,  832 ,  870 ,  907 ,  769 
"$45,000 to $49,999",,,  657 ,  790 ,  959 ,  950 ,  790 
"$50,000 to $59,999",,,  975 ,"  1,304 ","  1,323 ","  1,205 ","  1,207 "
"$60,000 to $74,999",,,  656 ,"  1,340 ","  1,569 ","  1,337 ","  1,395 "
"$75,000 to $99,999",,,  318 ,"  1,141 ","  1,270 ","  1,309 ","  1,336 "
"$100,000 to $124,999",,,  101 ,  364 ,  850 ,  730 ,  607 
"$125,000 to $149,999",,,  24 ,  181 ,  637 ,  544 ,  587 
"$150,000 to $199,999",,,  53 ,  119 ,  338 ,  403 ,  465 
"$200,000 or more",,,,  157 ,  214 ,  326 ,  308 
Median household income,"$50,457","$46,574","$49,273","$52,130","$47,673","$45,424","$44,388"
,,,,,,,
22. Logan Square,,,,,,,
Total,"  30,496 ","  29,317 ","  26,196 ","  28,855 ","  29,492 ","  29,533 ","  29,237 "
"Less than $10,000",,,"  5,919 ","  3,467 ","  1,965 ","  2,072 ","  2,083 "
"$10,000 to $14,999",,,"  2,813 ","  2,035 ","  1,824 ","  1,857 ","  1,629 "
"$15,000 to $19,999",,,"  2,747 ","  2,011 ","  1,282 ","  1,378 ","  1,262 "
"$20,000 to $24,999",,,"  2,883 ","  2,264 ","  1,539 ","  1,792 ","  1,746 "
"$25,000 to $29,999",,,"  2,407 ","  1,879 ","  1,769 ","  1,579 ","  1,414 "
"$30,000 to $34,999",,,"  2,026 ","  2,265 ","  1,543 ","  1,435 ","  1,446 "
"$35,000 to $39,999",,,"  1,557 ","  1,844 ","  1,367 ","  1,212 ","  1,172 "
"$40,000 to $44,999",,,"  1,363 ","  1,679 ","  1,577 ","  1,364 ","  1,320 "
"$45,000 to $49,999",,,"  1,105 ","  1,487 ","  1,133 ","  1,163 ","  1,036 "
"$50,000 to $59,999",,,"  1,236 ","  2,216 ","  2,474 ","  2,242 ","  2,321 "
"$60,000 to $74,999",,,"  1,110 ","  2,690 ","  2,613 ","  2,824 ","  2,934 "
"$75,000 to $99,999",,,  604 ,"  2,290 ","  3,012 ","  3,146 ","  3,095 "
"$100,000 to $124,999",,,  263 ,"  1,135 ","  2,403 ","  2,192 ","  2,273 "
"$125,000 to $149,999",,,  103 ,  605 ,"  1,491 ","  1,350 ","  1,519 "
"$150,000 to $199,999",,,  60 ,  449 ,"  1,852 ","  2,063 ","  2,091 "
"$200,000 or more",,,,  539 ,"  1,648 ","  1,864 ","  1,896 "
Median household income,"$47,230","$39,685","$41,647","$51,516","$54,297","$54,557","$56,115"
,,,,,,,
23. Humboldt Park,,,,,,,
Total,"  21,998 ","  21,230 ","  18,271 ","  17,855 ","  16,778 ","  16,304 ","  16,434 "
"Less than $10,000",,,"  5,190 ","  3,294 ","  3,378 ","  2,969 ","  2,778 "
"$10,000 to $14,999",,,"  2,008 ","  1,657 ","  1,265 ","  1,263 ","  1,293 "
"$15,000 to $19,999",,,"  1,923 ","  1,440 ","  1,492 ","  1,375 ","  1,302 "
"$20,000 to $24,999",,,"  1,817 ","  1,537 ","  1,128 ","  1,167 ","  1,165 "
"$25,000 to $29,999",,,"  1,389 ","  1,290 ","  1,178 ","  1,260 ","  1,125 "
"$30,000 to $34,999",,,"  1,417 ","  1,343 ",  937 ,"  1,017 ","  1,115 "
"$35,000 to $39,999",,,  958 ,"  1,192 ",  857 ,  770 ,  887 
"$40,000 to $44,999",,,"  1,040 ","  1,283 ",  824 ,  916 ,  789 
"$45,000 to $49,999",,,  511 ,  602 ,  644 ,  663 ,  612 
"$50,000 to $59,999",,,  830 ,"  1,428 ","  1,172 ","  1,150 ","  1,111 "
"$60,000 to $74,999",,,  711 ,"  1,145 ","  1,507 ","  1,264 ","  1,525 "
"$75,000 to $99,999",,,  357 ,  889 ,"  1,286 ","  1,375 ","  1,518 "
"$100,000 to $124,999",,,  49 ,  403 ,  426 ,  525 ,  618 
"$125,000 to $149,999",,,  30 ,  111 ,  292 ,  196 ,  179 
"$150,000 to $199,999",,,  41 ,  112 ,  259 ,  240 ,  255 
"$200,000 or more",,,,  129 ,  133 ,  154 ,  162 
Median household income,"$47,436","$37,193","$36,952","$40,832","$30,670","$31,010","$32,303"
,,,,,,,
24. West Town,,,,,,,
Total,"  39,240 ","  32,233 ","  28,767 ","  35,316 ","  37,287 ","  36,946 ","  36,779 "
"Less than $10,000",,,"  8,361 ","  4,948 ","  2,780 ","  2,578 ","  2,406 "
"$10,000 to $14,999",,,"  3,291 ","  2,490 ","  1,493 ","  1,353 ","  1,405 "
"$15,000 to $19,999",,,"  3,144 ","  2,370 ","  1,515 ","  1,562 ","  1,437 "
"$20,000 to $24,999",,,"  2,926 ","  2,043 ","  1,786 ","  1,964 ","  1,734 "
"$25,000 to $29,999",,,"  2,345 ","  2,240 ","  1,152 ","  1,228 ","  1,216 "
"$30,000 to $34,999",,,"  2,103 ","  1,932 ","  1,273 ","  1,208 ","  1,216 "
"$35,000 to $39,999",,,"  1,437 ","  2,036 ","  1,231 ","  1,056 ",  961 
"$40,000 to $44,999",,,"  1,154 ","  1,799 ","  1,528 ","  1,652 ","  1,638 "
"$45,000 to $49,999",,,  830 ,"  1,649 ","  1,298 ","  1,295 ","  1,219 "
"$50,000 to $59,999",,,"  1,299 ","  2,832 ","  2,612 ","  2,691 ","  2,706 "
"$60,000 to $74,999",,,  964 ,"  3,234 ","  3,546 ","  3,228 ","  3,464 "
"$75,000 to $99,999",,,  570 ,"  3,062 ","  4,521 ","  4,492 ","  4,318 "
"$100,000 to $124,999",,,  185 ,"  1,894 ","  3,373 ","  3,511 ","  3,517 "
"$125,000 to $149,999",,,  46 ,  963 ,"  2,594 ","  2,357 ","  2,363 "
"$150,000 to $199,999",,,  112 ,  965 ,"  3,027 ","  3,003 ","  3,065 "
"$200,000 or more",,,,  859 ,"  3,558 ","  3,768 ","  4,114 "
Median household income,"$37,984","$33,380","$35,473","$55,311","$69,692","$69,146","$69,962"
,,,,,,,
25. Austin,,,,,,,
Total,"  42,916 ","  41,350 ","  33,862 ","  35,195 ","  32,428 ","  32,059 ","  32,277 "
"Less than $10,000",,,"  8,311 ","  6,432 ","  4,946 ","  4,869 ","  5,048 "
"$10,000 to $14,999",,,"  2,736 ","  2,371 ","  2,757 ","  2,738 ","  2,907 "
"$15,000 to $19,999",,,"  3,027 ","  2,429 ","  3,005 ","  2,870 ","  2,815 "
"$20,000 to $24,999",,,"  2,915 ","  2,331 ","  2,555 ","  2,609 ","  2,453 "
"$25,000 to $29,999",,,"  2,588 ","  2,598 ","  2,142 ","  2,031 ","  2,285 "
"$30,000 to $34,999",,,"  2,646 ","  1,897 ","  2,145 ","  2,386 ","  2,197 "
"$35,000 to $39,999",,,"  2,401 ","  2,123 ","  1,746 ","  1,820 ","  1,857 "
"$40,000 to $44,999",,,"  1,919 ","  1,956 ","  1,410 ","  1,541 ","  1,478 "
"$45,000 to $49,999",,,"  1,587 ","  1,519 ","  1,237 ","  1,186 ","  1,105 "
"$50,000 to $59,999",,,"  2,302 ","  3,043 ","  2,367 ","  2,083 ","  2,189 "
"$60,000 to $74,999",,,"  1,930 ","  3,160 ","  2,307 ","  2,367 ","  2,376 "
"$75,000 to $99,999",,,"  1,170 ","  2,725 ","  2,719 ","  2,657 ","  2,587 "
"$100,000 to $124,999",,,  200 ,"  1,384 ","  1,342 ","  1,314 ","  1,319 "
"$125,000 to $149,999",,,  44 ,  508 ,  791 ,  640 ,  731 
"$150,000 to $199,999",,,  86 ,  412 ,  575 ,  563 ,  547 
"$200,000 or more",,,,  307 ,  384 ,  385 ,  383 
Median household income,"$52,119","$44,109","$45,876","$47,846","$32,706","$32,254","$31,289"
,,,,,,,
26. West Garfield Park,,,,,,,
Total,"  12,151 ","  9,257 ","  6,990 ","  6,866 ","  5,714 ","  5,464 ","  5,431 "
"Less than $10,000",,,"  2,650 ","  1,825 ","  1,488 ","  1,300 ","  1,307 "
"$10,000 to $14,999",,,  828 ,  638 ,  420 ,  505 ,  468 
"$15,000 to $19,999",,,  863 ,  622 ,  557 ,  583 ,  543 
"$20,000 to $24,999",,,  537 ,  522 ,  435 ,  335 ,  366 
"$25,000 to $29,999",,,  476 ,  611 ,  336 ,  339 ,  374 
"$30,000 to $34,999",,,  309 ,  417 ,  338 ,  388 ,  363 
"$35,000 to $39,999",,,  353 ,  381 ,  278 ,  226 ,  204 
"$40,000 to $44,999",,,  256 ,  279 ,  300 ,  264 ,  248 
"$45,000 to $49,999",,,  199 ,  284 ,  142 ,  180 ,  197 
"$50,000 to $59,999",,,  236 ,  355 ,  358 ,  373 ,  360 
"$60,000 to $74,999",,,  167 ,  451 ,  409 ,  348 ,  389 
"$75,000 to $99,999",,,  85 ,  268 ,  440 ,  415 ,  445 
"$100,000 to $124,999",,,  26 ,  93 ,  131 ,  99 ,  58 
"$125,000 to $149,999",,,  5 ,  45 ,  73 ,  88 ,  74 
"$150,000 to $199,999",,,  -   ,  6 ,  -   ,  5 ,  22 
"$200,000 or more",,,,  69 ,  9 ,  16 ,  13 
Median household income,"$38,538","$29,376","$27,850","$32,863","$25,178","$25,525","$25,362"
,,,,,,,
27. East Garfield Park,,,,,,,
Total,"  14,288 ","  9,895 ","  7,246 ","  6,535 ","  6,896 ","  6,900 ","  6,881 "
"Less than $10,000",,,"  3,235 ","  1,706 ","  1,864 ","  1,852 ","  1,862 "
"$10,000 to $14,999",,,  815 ,  708 ,  608 ,  694 ,  886 
"$15,000 to $19,999",,,  734 ,  520 ,  539 ,  462 ,  506 
"$20,000 to $24,999",,,  528 ,  386 ,  427 ,  424 ,  403 
"$25,000 to $29,999",,,  528 ,  419 ,  472 ,  457 ,  470 
"$30,000 to $34,999",,,  292 ,  449 ,  477 ,  371 ,  270 
"$35,000 to $39,999",,,  284 ,  373 ,  346 ,  285 ,  257 
"$40,000 to $44,999",,,  230 ,  333 ,  291 ,  332 ,  363 
"$45,000 to $49,999",,,  120 ,  362 ,  90 ,  62 ,  141 
"$50,000 to $59,999",,,  156 ,  441 ,  410 ,  412 ,  351 
"$60,000 to $74,999",,,  210 ,  318 ,  354 ,  404 ,  424 
"$75,000 to $99,999",,,  70 ,  324 ,  589 ,  597 ,  539 
"$100,000 to $124,999",,,  18 ,  64 ,  204 ,  218 ,  197 
"$125,000 to $149,999",,,  17 ,  32 ,  90 ,  104 ,  74 
"$150,000 to $199,999",,,  9 ,  34 ,  107 ,  166 ,  96 
"$200,000 or more",,,,  66 ,  28 ,  60 ,  42 
Median household income,"$30,205","$24,279","$22,281","$34,419","$25,871","$25,580","$22,103"
,,,,,,,
28. Near West Side,,,,,,,
Total,"  21,695 ","  18,630 ","  16,473 ","  18,141 ","  25,665 ","  26,291 ","  26,973 "
"Less than $10,000",,,"  8,482 ","  4,876 ","  3,943 ","  4,165 ","  4,116 "
"$10,000 to $14,999",,,"  1,280 ","  1,361 ","  1,243 ","  1,196 ","  1,204 "
"$15,000 to $19,999",,,"  1,170 ","  1,105 ",  832 ,  930 ,"  1,005 "
"$20,000 to $24,999",,,  773 ,  945 ,  875 ,  849 ,  802 
"$25,000 to $29,999",,,  793 ,  845 ,  888 ,  820 ,  849 
"$30,000 to $34,999",,,  631 ,  751 ,  505 ,  528 ,  517 
"$35,000 to $39,999",,,  606 ,  817 ,  628 ,  647 ,  542 
"$40,000 to $44,999",,,  397 ,  778 ,  615 ,  673 ,  609 
"$45,000 to $49,999",,,  356 ,  523 ,  555 ,  574 ,  700 
"$50,000 to $59,999",,,  636 ,"  1,010 ","  1,558 ","  1,653 ","  1,342 "
"$60,000 to $74,999",,,  536 ,"  1,280 ","  2,417 ","  2,237 ","  2,472 "
"$75,000 to $99,999",,,  378 ,"  1,249 ","  3,160 ","  3,206 ","  3,292 "
"$100,000 to $124,999",,,  159 ,  945 ,"  2,474 ","  2,502 ","  2,673 "
"$125,000 to $149,999",,,  118 ,  550 ,"  1,689 ","  1,614 ","  1,874 "
"$150,000 to $199,999",,,  158 ,  579 ,"  1,984 ","  2,313 ","  2,374 "
"$200,000 or more",,,,  527 ,"  2,299 ","  2,384 ","  2,602 "
Median household income,"$27,293","$18,498","$17,217","$42,054","$68,693","$67,802","$70,307"
,,,,,,,
29. North Lawndale,,,,,,,
Total,"  22,577 ","  17,266 ","  13,905 ","  12,391 ","  10,852 ","  10,811 ","  10,755 "
"Less than $10,000",,,"  6,076 ","  4,213 ","  2,708 ","  2,851 ","  2,655 "
"$10,000 to $14,999",,,"  1,660 ","  1,232 ","  1,195 ","  1,010 ","  1,106 "
"$15,000 to $19,999",,,"  1,375 ","  1,048 ",  989 ,"  1,068 ","  1,046 "
"$20,000 to $24,999",,,"  1,187 ",  867 ,  788 ,  777 ,  858 
"$25,000 to $29,999",,,  704 ,  844 ,  697 ,  617 ,  601 
"$30,000 to $34,999",,,  749 ,  657 ,  479 ,  667 ,  643 
"$35,000 to $39,999",,,  587 ,  659 ,  552 ,  555 ,  452 
"$40,000 to $44,999",,,  391 ,  349 ,  450 ,  387 ,  491 
"$45,000 to $49,999",,,  283 ,  389 ,  296 ,  369 ,  337 
"$50,000 to $59,999",,,  483 ,  548 ,  603 ,  611 ,  549 
"$60,000 to $74,999",,,  185 ,  703 ,  792 ,  769 ,  831 
"$75,000 to $99,999",,,  166 ,  477 ,  752 ,  599 ,  587 
"$100,000 to $124,999",,,  44 ,  205 ,  295 ,  270 ,  372 
"$125,000 to $149,999",,,  -   ,  95 ,  52 ,  110 ,  110 
"$150,000 to $199,999",,,  15 ,  72 ,  90 ,  70 ,  76 
"$200,000 or more",,,,  33 ,  114 ,  81 ,  41 
Median household income,"$36,333","$27,675","$23,181","$26,070","$23,905","$23,220","$23,107"
,,,,,,,
30. South Lawndale,,,,,,,
Total,"  19,057 ","  19,197 ","  18,445 ","  19,265 ","  16,454 ","  16,690 ","  17,447 "
"Less than $10,000",,,"  3,635 ","  2,649 ","  1,355 ","  1,517 ","  1,637 "
"$10,000 to $14,999",,,"  1,964 ","  1,586 ","  1,472 ","  1,495 ","  1,682 "
"$15,000 to $19,999",,,"  2,283 ","  1,418 ","  1,734 ","  1,817 ","  1,769 "
"$20,000 to $24,999",,,"  2,578 ","  1,608 ","  1,821 ","  2,012 ","  1,811 "
"$25,000 to $29,999",,,"  1,795 ","  1,629 ","  1,106 ","  1,089 ","  1,431 "
"$30,000 to $34,999",,,"  1,519 ","  1,478 ","  1,302 ","  1,369 ","  1,420 "
"$35,000 to $39,999",,,"  1,253 ","  1,614 ","  1,439 ","  1,433 ","  1,493 "
"$40,000 to $44,999",,,  892 ,"  1,303 ","  1,062 ",  998 ,  950 
"$45,000 to $49,999",,,  654 ,"  1,092 ",  808 ,  766 ,  940 
"$50,000 to $59,999",,,  719 ,"  1,623 ","  1,456 ","  1,362 ","  1,424 "
"$60,000 to $74,999",,,  680 ,"  1,327 ","  1,042 ","  1,068 ","  1,144 "
"$75,000 to $99,999",,,  329 ,"  1,086 ","  1,102 ","  1,035 ",  957 
"$100,000 to $124,999",,,  101 ,  559 ,  339 ,  370 ,  439 
"$125,000 to $149,999",,,  7 ,  118 ,  253 ,  240 ,  220 
"$150,000 to $199,999",,,  36 ,  106 ,  83 ,  68 ,  75 
"$200,000 or more",,,,  69 ,  80 ,  51 ,  55 
Median household income,"$44,414","$45,205","$41,050","$45,937","$33,661","$31,863","$31,229"
,,,,,,,
31. Lower West Side,,,,,,,
Total,"  13,064 ","  13,034 ","  12,143 ","  12,804 ","  12,255 ","  11,997 ","  11,901 "
"Less than $10,000",,,"  2,868 ","  1,789 ","  1,212 ","  1,077 ","  1,247 "
"$10,000 to $14,999",,,"  1,439 ","  1,313 ",  912 ,  825 ,  741 
"$15,000 to $19,999",,,"  1,627 ","  1,379 ","  1,169 ","  1,130 ","  1,011 "
"$20,000 to $24,999",,,"  1,218 ","  1,291 ",  877 ,  971 ,"  1,021 "
"$25,000 to $29,999",,,"  1,243 ","  1,059 ",  903 ,"  1,006 ",  991 
"$30,000 to $34,999",,,"  1,083 ","  1,121 ",  849 ,  875 ,  925 
"$35,000 to $39,999",,,  637 ,  893 ,  849 ,  830 ,  626 
"$40,000 to $44,999",,,  543 ,  653 ,  865 ,  641 ,  528 
"$45,000 to $49,999",,,  438 ,  610 ,  605 ,  571 ,  637 
"$50,000 to $59,999",,,  534 ,  778 ,  994 ,  859 ,  992 
"$60,000 to $74,999",,,  375 ,  717 ,"  1,041 ","  1,182 ","  1,154 "
"$75,000 to $99,999",,,  86 ,  659 ,  935 ,  971 ,  944 
"$100,000 to $124,999",,,  33 ,  269 ,  474 ,  424 ,  460 
"$125,000 to $149,999",,,  12 ,  85 ,  274 ,  345 ,  285 
"$150,000 to $199,999",,,  7 ,  131 ,  192 ,  188 ,  192 
"$200,000 or more",,,,  57 ,  104 ,  102 ,  147 
Median household income,"$42,136","$37,832","$37,935","$39,460","$37,211","$36,194","$35,103"
,,,,,,,
32. Loop,,,,,,,
Total,"  2,902 ","  3,853 ","  6,785 ","  8,972 ","  14,557 ","  15,649 ","  16,694 "
"Less than $10,000",,,  485 ,  930 ,"  1,491 ","  1,432 ","  1,517 "
"$10,000 to $14,999",,,  153 ,  195 ,  588 ,  790 ,  784 
"$15,000 to $19,999",,,  305 ,  270 ,  226 ,  238 ,  156 
"$20,000 to $24,999",,,  328 ,  331 ,  311 ,  245 ,  238 
"$25,000 to $29,999",,,  379 ,  241 ,  429 ,  453 ,  414 
"$30,000 to $34,999",,,  470 ,  315 ,  239 ,  328 ,  422 
"$35,000 to $39,999",,,  544 ,  314 ,  430 ,  370 ,  233 
"$40,000 to $44,999",,,  440 ,  477 ,  297 ,  370 ,  517 
"$45,000 to $49,999",,,  406 ,  451 ,  418 ,  479 ,  478 
"$50,000 to $59,999",,,  654 ,  579 ,  938 ,  933 ,  890 
"$60,000 to $74,999",,,  732 ,  973 ,"  1,617 ","  1,247 ","  1,289 "
"$75,000 to $99,999",,,  707 ,"  1,164 ","  1,833 ","  2,076 ","  2,282 "
"$100,000 to $124,999",,,  468 ,  719 ,"  1,517 ","  1,908 ","  1,940 "
"$125,000 to $149,999",,,  219 ,  535 ,"  1,096 ","  1,160 ","  1,251 "
"$150,000 to $199,999",,,  495 ,  727 ,"  1,216 ","  1,547 ","  1,896 "
"$200,000 or more",,,,  751 ,"  1,911 ","  2,073 ","  2,387 "
Median household income,"$49,200","$35,577","$89,128","$92,569","$80,586","$86,003","$88,756"
,,,,,,,
33. Near South Side,,,,,,,
Total,"  2,914 ","  2,419 ","  2,911 ","  4,684 ","  11,517 ","  12,191 ","  12,599 "
"Less than $10,000",,,"  1,768 ","  1,257 ","  1,253 ","  1,105 ",  994 
"$10,000 to $14,999",,,  208 ,  332 ,  301 ,  256 ,  390 
"$15,000 to $19,999",,,  190 ,  235 ,  344 ,  260 ,  420 
"$20,000 to $24,999",,,  208 ,  227 ,  263 ,  318 ,  331 
"$25,000 to $29,999",,,  99 ,  132 ,  484 ,  550 ,  691 
"$30,000 to $34,999",,,  143 ,  181 ,  355 ,  348 ,  285 
"$35,000 to $39,999",,,  61 ,  138 ,  381 ,  350 ,  288 
"$40,000 to $44,999",,,  48 ,  177 ,  443 ,  514 ,  590 
"$45,000 to $49,999",,,  72 ,  159 ,  377 ,  410 ,  381 
"$50,000 to $59,999",,,  40 ,  315 ,  744 ,  766 ,  832 
"$60,000 to $74,999",,,  50 ,  351 ,"  1,014 ","  1,328 ","  1,150 "
"$75,000 to $99,999",,,  24 ,  325 ,"  1,481 ","  1,247 ","  1,450 "
"$100,000 to $124,999",,,  -   ,  170 ,"  1,232 ","  1,360 ","  1,474 "
"$125,000 to $149,999",,,  -   ,  190 ,  542 ,  573 ,  560 
"$150,000 to $199,999",,,  -   ,  234 ,  959 ,"  1,159 ","  1,013 "
"$200,000 or more",,,,  261 ,"  1,344 ","  1,647 ","  1,750 "
Median household income,"$22,650","$18,513","$12,547","$48,793","$73,770","$74,703","$74,175"
,,,,,,,
34. Armour Square,,,,,,,
Total,"  4,035 ","  4,505 ","  4,109 ","  4,736 ","  5,359 ","  5,228 ","  5,150 "
"Less than $10,000",,,"  1,709 ","  1,416 ","  1,222 ","  1,150 ","  1,313 "
"$10,000 to $14,999",,,  466 ,  434 ,  861 ,  829 ,  645 
"$15,000 to $19,999",,,  303 ,  281 ,  521 ,  400 ,  346 
"$20,000 to $24,999",,,  261 ,  396 ,  226 ,  291 ,  360 
"$25,000 to $29,999",,,  260 ,  312 ,  252 ,  300 ,  309 
"$30,000 to $34,999",,,  192 ,  223 ,  198 ,  193 ,  280 
"$35,000 to $39,999",,,  147 ,  191 ,  279 ,  220 ,  190 
"$40,000 to $44,999",,,  149 ,  224 ,  185 ,  153 ,  153 
"$45,000 to $49,999",,,  150 ,  120 ,  169 ,  73 ,  93 
"$50,000 to $59,999",,,  181 ,  250 ,  310 ,  314 ,  271 
"$60,000 to $74,999",,,  158 ,  285 ,  330 ,  453 ,  387 
"$75,000 to $99,999",,,  74 ,  336 ,  354 ,  404 ,  282 
"$100,000 to $124,999",,,  34 ,  115 ,  196 ,  199 ,  175 
"$125,000 to $149,999",,,  5 ,  63 ,  130 ,  102 ,  219 
"$150,000 to $199,999",,,  20 ,  31 ,  97 ,  86 ,  73 
"$200,000 or more",,,,  59 ,  29 ,  61 ,  54 
Median household income,"$33,929","$31,262","$24,925","$32,344","$22,172","$24,294","$23,590"
,,,,,,,
35. Douglas,,,,,,,
Total,"  14,918 ","  14,319 ","  13,067 ","  10,835 ","  9,023 ","  8,986 ","  9,071 "
"Less than $10,000",,,"  5,843 ","  3,271 ","  1,945 ","  1,985 ","  2,208 "
"$10,000 to $14,999",,,"  1,128 ",  944 ,  836 ,  752 ,  761 
"$15,000 to $19,999",,,"  1,013 ",  636 ,  472 ,  591 ,  507 
"$20,000 to $24,999",,,  918 ,  583 ,  549 ,  574 ,  617 
