date,community,value,school_score,cta,income,crime,name
2012,1,164770.83333333337,41,1,37779,3914.2541900907104,Rogers Park
2012,2,150479.16666666663,58,0,47941,2796.74043737949,West Ridge
2012,3,212354.16666666663,54,1,44229,4240.389482232,Uptown
2012,4,289125.0,50,1,62076,3300.6902860944106,Lincoln Square
2012,5,486052.08333333326,70,1,90279,3760.0356544281694,North Center
2012,6,420458.33333333326,58,1,75730,4968.27474432077,Lake View
2012,7,420472.22222222225,59,1,87694,5301.58313981092,Lincoln Park
2012,8,367927.08333333326,61,1,82169,8144.494053789209,Near North Side
2012,9,303270.83333333326,70,0,79342,1074.05617313786,Edison Park
2012,10,273333.33333333326,61,1,70578,1881.07486894815,Norwood Park
2012,11,253187.5,57,1,62021,2712.31342989382,Jefferson Park
2012,12,419270.83333333326,73,0,84347,1824.87645747877,Forest Glen
2012,13,274395.83333333326,67,0,52283,3519.6245733789,North Park
2012,14,225825.0,55,1,52666,2865.69394706609,Albany Park
2012,15,252666.66666666663,45,0,54773,3365.6435110394,Portage Park
2012,16,287437.5,49,1,48758,3955.8565414074897,Irving Park
2012,17,222833.33333333328,55,0,60945,2291.9571404015,Dunning
2012,18,193645.83333333328,50,0,41387,3026.06390811367,Montclare
2012,19,189750.0,42,0,43103,3791.3946753098094,Belmont Cragin
2012,20,187000.0,47,0,37327,3885.44238014818,Hermosa
2012,21,290145.83333333326,49,1,44388,4576.88491290408,Avondale
2012,22,353062.5,45,1,56115,5545.41527915182,Logan Square
2012,23,124145.83333333331,40,0,32303,7829.7844190787,Humboldt Park
2012,24,414687.5,55,1,69962,7128.13187854236,West Town
2012,25,163270.83333333337,47,1,31289,8680.05329875819,Austin
2012,26,97562.5,54,1,25362,13578.5473072351,West Garfield Park
2012,27,95458.33333333331,54,1,22103,11509.8370090029,East Garfield Park
2012,28,256729.16666666663,52,1,70307,9513.30483937737,Near West Side
2012,29,67458.33333333331,56,1,23107,11084.949108828601,North Lawndale
2012,30,72450.0,50,1,31229,3315.9412151605998,South Lawndale
2012,31,216604.16666666663,49,1,35103,4628.24548753394,Lower West Side
2012,32,288519.66666666674,63,1,88756,15416.483585461201,Loop
2012,33,365375.0,63,1,74175,4628.42187644631,Near South Side
2012,34,255916.66666666663,55,1,23590,5562.5494042217615,Armour Square
2012,35,108820.83333333331,55,1,32389,7895.561609488879,Douglas
2012,36,269437.5,37,1,24815,5833.7301857269495,Oakland
