,community,date,value
227,46,2014,797250
228,46,2015,1051399
229,46,2016,1152250
230,47,2012,1182250
231,47,2013,795500
232,47,2014,5749750
233,47,2015,637000
234,47,2016,1372410
235,48,2015,1082750
236,48,2014,1155000
237,48,2016,1802250
238,48,2012,1724750
239,48,2013,1856750
240,49,2012,1238000
241,49,2013,1023000
242,49,2014,908250
243,49,2015,543299
244,49,2016,919605
245,50,2015,978500
246,50,2014,778750
247,50,2016,949250
248,50,2012,1125250
249,50,2013,962500
250,51,2013,1154754
251,51,2014,817500
252,51,2015,945750
253,51,2016,1484698
254,51,2012,1067500
255,52,2012,988750
256,52,2013,1120000
257,52,2014,804750
258,52,2015,914899
259,52,2016,962000
260,53,2015,806500
261,53,2016,862000
262,53,2014,775750
263,53,2012,921250
264,53,2013,854250
265,54,2012,58500
266,54,2013,58500
267,54,2014,52500
268,54,2015,79000
269,54,2016,369500
270,55,2015,903098
271,55,2014,1038500
272,55,2016,1225500
273,55,2012,1237750
274,55,2013,1369500
275,56,2012,2260500
276,56,2013,2449250
277,56,2014,1697500
278,56,2015,1884250
279,56,2016,2073750
280,57,2012,1980750
281,57,2013,2068500
282,57,2014,1423750
283,57,2015,1533500
284,57,2016,1795250
285,58,2016,1289500
286,58,2014,843750
287,58,2015,994250
288,58,2013,1803500
289,58,2012,1654500
290,59,2012,1917500
291,59,2013,2450750
292,59,2014,1792500
293,59,2015,2235500
294,59,2016,2062750
295,60,2015,3244750
296,60,2014,3104000
297,60,2016,3961000
298,60,2012,3596250
299,60,2013,3967750
300,61,2012,3328250
301,61,2013,3049950
302,61,2014,2475250
303,61,2015,2286500
304,61,2016,2882500
305,62,2012,1844500
306,62,2013,1976500
307,62,2014,1330000
308,62,2015,1381750
309,62,2016,1655500
310,63,2016,1068500
311,63,2015,870900
312,63,2014,811000
313,63,2013,1440602
314,63,2012,1318000
315,64,2012,1949500
316,64,2013,2281204
317,64,2014,1403250
318,64,2015,1592250
319,64,2016,1829250
320,65,2015,1479447
321,65,2014,1444250
322,65,2016,1619250
323,65,2012,1790500
324,65,2013,2031000
325,66,2012,1022000
326,66,2013,1401500
327,66,2014,642500
328,66,2015,731750
329,66,2016,856000
330,67,2012,482000
331,67,2013,370944
332,67,2014,409250
333,67,2015,473800
334,67,2016,366000
335,68,2015,638500
336,68,2016,644500
337,68,2013,644000
338,68,2012,568500
339,68,2014,528500
340,69,2012,1395000
341,69,2013,1299000
342,69,2014,1056750
343,69,2015,792800
344,69,2016,1217750
345,70,2016,3231250
346,70,2015,2684700
347,70,2014,2630500
348,70,2013,4095000
349,70,2012,3578250
350,71,2012,1448500
351,71,2013,1554000
352,71,2014,969750
353,71,2015,1193899
354,71,2016,1256950
355,72,2015,2985250
356,72,2014,2773500
357,72,2016,3403750
358,72,2012,3450250
359,72,2013,3374000
360,73,2012,1657000
361,73,2013,1681500
362,73,2014,1291000
363,73,2015,1165250
364,73,2016,1310250
365,74,2015,2110249
366,74,2014,2054500
367,74,2016,2329500
368,74,2012,2339500
369,74,2013,2470250
370,75,2012,1961000
371,75,2013,1982250
372,75,2014,1352000
373,75,2015,1622708
374,75,2016,1640899
375,76,2016,1191450
376,76,2012,1407500
377,76,2013,1415500
378,76,2014,811000
379,76,2015,871500
380,77,2014,1576300
381,77,2015,1813000
382,77,2012,2354000
383,77,2013,2304500
384,77,2016,2151000
