date,value
2000-01-01,219500
2000-02-01,190000
2000-03-01,207000
2000-04-01,193500
2000-05-01,185000
2000-06-01,172000
2000-07-01,180000
2000-08-01,175000
2000-09-01,180000
2000-10-01,177500
2000-11-01,248000
2000-12-01,242750
2001-01-01,213750
2001-02-01,177500
2001-03-01,178750
2001-04-01,185000
2001-05-01,185000
2001-06-01,250000
2001-07-01,195000
2001-08-01,203500
2001-09-01,191500
2001-10-01,190000
2001-11-01,182000
2001-12-01,182000
2002-01-01,175000
2002-02-01,187000
2002-03-01,185500
2002-04-01,188500
2002-05-01,190000
2002-06-01,206000
2002-07-01,203500
2002-08-01,210500
2002-09-01,197500
2002-10-01,195000
2002-11-01,196500
2002-12-01,201750
2003-01-01,207000
2003-02-01,199000
2003-03-01,236000
2003-04-01,230000
2003-05-01,230000
2003-06-01,207500
2003-07-01,205000
2003-08-01,205000
2003-09-01,218000
2003-10-01,220000
2003-11-01,218000
2003-12-01,207500
2004-01-01,224500
2004-02-01,228500
2004-03-01,232500
2004-04-01,225000
2004-05-01,219000
2004-06-01,224000
2004-07-01,234000
2004-08-01,240000
2004-09-01,244500
2004-10-01,245000
2004-11-01,243500
2004-12-01,245000
2005-01-01,247500
2005-02-01,240000
2005-03-01,236000
2005-04-01,232500
2005-05-01,255500
2005-06-01,250000
2005-07-01,255000
2005-08-01,256000
2005-09-01,265000
2005-10-01,264250
2005-11-01,265000
2005-12-01,265000
2006-01-01,267500
2006-02-01,319000
2006-03-01,321000
2006-04-01,289500
2006-05-01,280000
2006-06-01,272500
2006-07-01,270000
2006-08-01,266500
2006-09-01,272250
2006-10-01,285000
2006-11-01,285000
2006-12-01,282500
2007-01-01,251500
2007-02-01,260000
2007-03-01,265000
2007-04-01,350000
2007-05-01,310000
2007-06-01,280000
2007-07-01,285000
2007-08-01,273750
2007-09-01,276500
2007-10-01,245000
2007-11-01,254500
2007-12-01,255750
2008-01-01,352000
2008-02-01,342000
2008-03-01,262500
2008-04-01,246000
2008-05-01,321250
2008-06-01,325000
2008-07-01,221750
2008-08-01,194500
2008-09-01,210000
2008-10-01,210000
2008-11-01,224000
2008-12-01,227000
2009-01-01,238500
2009-02-01,250000
2009-03-01,215000
2009-04-01,215000
2009-05-01,102500
2009-06-01,185000
2009-07-01,195000
2009-08-01,270000
2009-09-01,210000
2009-10-01,225000
2009-11-01,210000
2009-12-01,210000
2010-01-01,200000
2010-02-01,157000
2010-03-01,185750
2010-04-01,294250
2010-05-01,243000
2010-06-01,195000
2010-07-01,187500
2010-08-01,152500
2010-09-01,110000
2010-10-01,136000
2010-12-01,152500
2011-01-01,75000
2011-02-01,102500
2011-03-01,112500
2011-04-01,122000
2011-05-01,115000
2011-06-01,97500
2011-07-01,161500
2011-08-01,140000
2011-09-01,138000
2011-10-01,135500
2011-11-01,90500
2011-12-01,75000
2012-01-01,80000
2012-02-01,84000
2012-03-01,84000
2012-04-01,70000
2012-05-01,60900
2012-06-01,72950
2012-07-01,80000
2012-08-01,96000
2012-09-01,95500
2012-10-01,99250
2012-11-01,120000
2012-12-01,154500
2013-01-01,90000
2013-02-01,100000
2013-03-01,100000
2013-04-01,101000
2013-05-01,104500
2013-06-01,120000
2013-07-01,117750
2013-08-01,134000
2013-09-01,114000
2013-10-01,114000
2013-11-01,104500
2013-12-01,100000
2014-01-01,102250
2014-02-01,100000
2014-03-01,106250
2014-04-01,110000
2014-05-01,126500
2014-06-01,126500
2014-07-01,135000
2014-08-01,149500
2014-09-01,145000
2014-10-01,155000
2014-11-01,155000
2014-12-01,146000
2015-01-01,138000
2015-02-01,146000
2015-03-01,153500
2015-04-01,204750
2015-05-01,261000
2015-06-01,261000
2015-07-01,213000
2015-08-01,155500
2015-09-01,151000
2015-10-01,185000
2015-11-01,210000
2015-12-01,185000
2016-01-01,231000
2016-02-01,290000
2016-03-01,338500
2016-04-01,277500
2016-05-01,185000
2016-06-01,224750
2016-07-01,224750
2016-08-01,212500
2016-09-01,199000
2016-10-01,199500
2016-11-01,199000
2016-12-01,199500
2017-01-01,185500
