date,value
2000-01-01,123500
2000-02-01,126000
2000-03-01,125000
2000-04-01,125000
2000-05-01,125000
2000-06-01,128500
2000-07-01,130000
2000-08-01,138500
2000-09-01,134250
2000-10-01,145000
2000-11-01,145000
2000-12-01,157000
2001-01-01,153500
2001-02-01,162000
2001-03-01,151750
2001-04-01,141000
2001-05-01,143000
2001-06-01,161000
2001-07-01,173250
2001-08-01,167250
2001-09-01,163000
2001-10-01,156750
2001-11-01,163000
2001-12-01,163000
2002-01-01,164000
2002-02-01,157500
2002-03-01,161000
2002-04-01,157750
2002-05-01,158000
2002-06-01,154500
2002-07-01,159250
2002-08-01,168000
2002-09-01,192500
2002-10-01,190000
2002-11-01,192500
2002-12-01,192500
2003-01-01,185500
2003-02-01,180000
2003-03-01,176000
2003-04-01,169500
2003-05-01,172000
2003-06-01,171250
2003-07-01,187000
2003-08-01,200000
2003-09-01,212000
2003-10-01,212000
2003-11-01,200000
2003-12-01,197000
2004-01-01,190000
2004-02-01,185000
2004-03-01,179500
2004-04-01,179000
2004-05-01,178000
2004-06-01,183750
2004-07-01,189000
2004-08-01,194500
2004-09-01,200000
2004-10-01,200000
2004-11-01,199250
2004-12-01,191000
2005-01-01,192000
2005-02-01,203750
2005-03-01,216000
2005-04-01,220000
2005-05-01,199000
2005-06-01,199000
2005-07-01,200000
2005-08-01,214000
2005-09-01,219000
2005-10-01,219000
2005-11-01,210000
2005-12-01,206000
2006-01-01,215000
2006-02-01,224000
2006-03-01,225500
2006-04-01,229000
2006-05-01,229000
2006-06-01,229500
2006-07-01,229000
2006-08-01,229000
2006-09-01,229000
2006-10-01,229000
2006-11-01,230000
2006-12-01,233000
2007-01-01,230500
2007-02-01,233000
2007-03-01,232000
2007-04-01,236000
2007-05-01,240000
2007-06-01,235000
2007-07-01,235000
2007-08-01,230000
2007-09-01,251500
2007-10-01,255500
2007-11-01,249000
2007-12-01,235000
2008-01-01,235000
2008-02-01,239000
2008-03-01,239500
2008-04-01,255000
2008-05-01,257750
2008-06-01,239000
2008-07-01,221250
2008-08-01,204000
2008-09-01,217500
2008-10-01,200000
2008-11-01,199000
2008-12-01,179500
2009-01-01,163500
2009-02-01,181500
2009-03-01,171000
2009-04-01,192500
2009-05-01,157500
2009-06-01,165000
2009-07-01,152500
2009-08-01,150000
2009-09-01,151000
2009-10-01,160000
2009-11-01,153750
2009-12-01,140000
2010-01-01,116000
2010-02-01,125000
2010-03-01,117500
2010-04-01,132500
2010-05-01,95000
2010-06-01,100000
2010-07-01,113000
2010-08-01,119000
2010-09-01,112000
2010-10-01,93000
2010-11-01,85000
2010-12-01,82500
2011-01-01,91000
2011-02-01,75000
2011-03-01,70000
2011-04-01,67000
2011-05-01,71000
2011-06-01,73000
2011-07-01,66750
2011-08-01,75000
2011-09-01,75000
2011-10-01,78000
2011-11-01,61500
2011-12-01,66500
2012-01-01,65000
2012-02-01,67250
2012-03-01,66250
2012-04-01,81000
2012-05-01,67500
2012-06-01,70000
2012-07-01,67250
2012-08-01,75000
2012-09-01,71000
2012-10-01,71000
2012-11-01,68500
2012-12-01,66500
2013-01-01,65000
2013-02-01,65349
2013-03-01,65000
2013-04-01,65099
2013-05-01,65750
2013-06-01,73000
2013-07-01,74000
2013-08-01,81500
2013-09-01,95500
2013-10-01,100000
2013-11-01,109250
2013-12-01,108250
2014-01-01,108500
2014-02-01,113000
2014-03-01,128500
2014-04-01,131000
2014-05-01,107000
2014-06-01,107000
2014-07-01,116250
2014-08-01,148000
2014-09-01,157250
2014-10-01,130500
2014-11-01,132000
2014-12-01,132750
2015-01-01,145000
2015-02-01,140000
2015-03-01,141000
2015-04-01,135500
2015-05-01,129750
2015-06-01,122000
2015-07-01,120500
2015-08-01,132500
2015-09-01,182000
2015-10-01,195000
2015-11-01,193000
2015-12-01,169500
2016-01-01,157500
2016-02-01,147000
2016-03-01,158500
2016-04-01,151000
2016-05-01,166000
2016-06-01,161750
2016-07-01,145750
2016-08-01,168000
2016-09-01,142000
2016-10-01,169000
2016-11-01,152000
2016-12-01,153500
2017-01-01,145000
