date,value
2000-01-01,255000
2000-02-01,250750
2000-03-01,258500
2000-04-01,278000
2000-05-01,276000
2000-06-01,294250
2000-07-01,305500
2000-08-01,305000
2000-09-01,314500
2000-10-01,325000
2000-11-01,311000
2000-12-01,295000
2001-01-01,275000
2001-02-01,294500
2001-03-01,302500
2001-04-01,319750
2001-05-01,331750
2001-06-01,320000
2001-07-01,325000
2001-08-01,332000
2001-09-01,329000
2001-10-01,332750
2001-11-01,320000
2001-12-01,325000
2002-01-01,300000
2002-02-01,315000
2002-03-01,310000
2002-04-01,329000
2002-05-01,330000
2002-06-01,338500
2002-07-01,349250
2002-08-01,355000
2002-09-01,319750
2002-10-01,311000
2002-11-01,321750
2002-12-01,323500
2003-01-01,320000
2003-02-01,320000
2003-03-01,380000
2003-04-01,388000
2003-05-01,383000
2003-06-01,371000
2003-07-01,352500
2003-08-01,359000
2003-09-01,359000
2003-10-01,369250
2003-11-01,365000
2003-12-01,365000
2004-01-01,362000
2004-02-01,368000
2004-03-01,367500
2004-04-01,362500
2004-05-01,365000
2004-06-01,372500
2004-07-01,380500
2004-08-01,375000
2004-09-01,380500
2004-10-01,375000
2004-11-01,380500
2004-12-01,371500
2005-01-01,385000
2005-02-01,392500
2005-03-01,410000
2005-04-01,412500
2005-05-01,400000
2005-06-01,416000
2005-07-01,411750
2005-08-01,420000
2005-09-01,415000
2005-10-01,417000
2005-11-01,422250
2005-12-01,426250
2006-01-01,435000
2006-02-01,437500
2006-03-01,435000
2006-04-01,440000
2006-05-01,425000
2006-06-01,425000
2006-07-01,439000
2006-08-01,437750
2006-09-01,418500
2006-10-01,392000
2006-11-01,417000
2006-12-01,411000
2007-01-01,423500
2007-02-01,423500
2007-03-01,452500
2007-04-01,453750
2007-05-01,427750
2007-06-01,426500
2007-07-01,435000
2007-08-01,451000
2007-09-01,447000
2007-10-01,445000
2007-11-01,433000
2007-12-01,450000
2008-01-01,460000
2008-02-01,459500
2008-03-01,456750
2008-04-01,470000
2008-05-01,433500
2008-06-01,422500
2008-07-01,422000
2008-08-01,437000
2008-09-01,443000
2008-10-01,428500
2008-11-01,451500
2008-12-01,442000
2009-01-01,456500
2009-02-01,479000
2009-03-01,517000
2009-04-01,485000
2009-05-01,436250
2009-06-01,415000
2009-07-01,397500
2009-08-01,405000
2009-09-01,407500
2009-10-01,394500
2009-11-01,382000
2009-12-01,370000
2010-01-01,375000
2010-02-01,384000
2010-03-01,385000
2010-04-01,407000
2010-05-01,400000
2010-06-01,420000
2010-07-01,417500
2010-08-01,420000
2010-09-01,417500
2010-10-01,393750
2010-11-01,400000
2010-12-01,408000
2011-01-01,419500
2011-02-01,385000
2011-03-01,385000
2011-04-01,400000
2011-05-01,415000
2011-06-01,410000
2011-07-01,382500
2011-08-01,385000
2011-09-01,382500
2011-10-01,379750
2011-11-01,387500
2011-12-01,403000
2012-01-01,404750
2012-02-01,376500
2012-03-01,375750
2012-04-01,375000
2012-05-01,365000
2012-06-01,387500
2012-07-01,385000
2012-08-01,382500
2012-09-01,365000
2012-10-01,355000
2012-11-01,373000
2012-12-01,370000
2013-01-01,371500
2013-02-01,395000
2013-03-01,395000
2013-04-01,415000
2013-05-01,375000
2013-06-01,393000
2013-07-01,390500
2013-08-01,412500
2013-09-01,427500
2013-10-01,445000
2013-11-01,445000
2013-12-01,452500
2014-01-01,470000
2014-02-01,480000
2014-03-01,475000
2014-04-01,466500
2014-05-01,415000
2014-06-01,407000
2014-07-01,406000
2014-08-01,435000
2014-09-01,475000
2014-10-01,460000
2014-11-01,437500
2014-12-01,425000
2015-01-01,432500
2015-02-01,485000
2015-03-01,509000
2015-04-01,450000
2015-05-01,445000
2015-06-01,455000
2015-07-01,478000
2015-08-01,465000
2015-09-01,470000
2015-10-01,472500
2015-11-01,491500
2015-12-01,491250
2016-01-01,525000
2016-02-01,501000
2016-03-01,525000
2016-04-01,485000
2016-05-01,477500
2016-06-01,499000
2016-07-01,485500
2016-08-01,500000
2016-09-01,493250
2016-10-01,490500
2016-11-01,489500
2016-12-01,496250
2017-01-01,520500
