date,value
2000-01-01,196000
2000-02-01,196500
2000-03-01,218500
2000-04-01,224500
2000-05-01,227000
2000-06-01,206000
2000-07-01,200000
2000-08-01,200000
2000-09-01,230000
2000-10-01,231000
2000-11-01,229000
2000-12-01,239000
2001-01-01,255000
2001-02-01,265000
2001-03-01,251750
2001-04-01,227500
2001-05-01,228000
2001-06-01,218750
2001-07-01,238000
2001-08-01,250500
2001-09-01,255500
2001-10-01,251500
2001-11-01,249000
2001-12-01,232000
2002-01-01,230000
2002-02-01,217000
2002-03-01,222500
2002-04-01,216000
2002-05-01,219000
2002-06-01,231500
2002-07-01,245000
2002-08-01,264000
2002-09-01,264000
2002-10-01,270000
2002-11-01,275000
2002-12-01,285000
2003-01-01,283000
2003-02-01,272500
2003-03-01,250000
2003-04-01,249000
2003-05-01,248000
2003-06-01,300000
2003-07-01,274000
2003-08-01,300000
2003-09-01,290000
2003-10-01,290000
2003-11-01,282000
2003-12-01,280000
2004-01-01,285000
2004-02-01,285000
2004-03-01,312000
2004-04-01,315000
2004-05-01,322500
2004-06-01,330000
2004-07-01,331500
2004-08-01,310000
2004-09-01,307500
2004-10-01,327500
2004-11-01,331500
2004-12-01,335000
2005-01-01,335000
2005-02-01,341000
2005-03-01,285000
2005-04-01,224500
2005-05-01,252500
2005-06-01,317500
2005-07-01,317500
2005-08-01,340000
2005-09-01,350000
2005-10-01,340000
2005-11-01,357500
2005-12-01,372500
2006-01-01,393500
2006-02-01,386000
2006-03-01,370000
2006-04-01,342500
2006-05-01,350000
2006-06-01,384500
2006-07-01,384000
2006-08-01,320500
2006-09-01,335000
2006-10-01,307000
2006-11-01,349500
2006-12-01,315000
2007-01-01,336000
2007-02-01,335000
2007-03-01,360000
2007-04-01,352500
2007-05-01,367000
2007-06-01,369000
2007-07-01,372500
2007-08-01,340000
2007-09-01,309950
2007-10-01,305000
2007-11-01,300000
2007-12-01,289000
2008-01-01,333000
2008-02-01,333000
2008-03-01,302000
2008-04-01,272500
2008-05-01,255000
2008-06-01,250000
2008-07-01,214250
2008-08-01,205000
2008-09-01,272500
2008-10-01,297500
2008-11-01,315000
2008-12-01,290000
2009-01-01,282500
2009-02-01,258750
2009-03-01,253750
2009-04-01,265000
2009-05-01,257500
2009-06-01,257500
2009-07-01,275000
2009-08-01,305000
2009-09-01,287500
2009-10-01,305000
2009-11-01,300000
2009-12-01,283000
2010-01-01,257000
2010-02-01,217500
2010-03-01,259000
2010-04-01,285000
2010-05-01,299000
2010-06-01,302500
2010-07-01,256000
2010-08-01,273500
2010-09-01,256500
2010-10-01,269500
2010-11-01,260000
2010-12-01,261250
2011-01-01,262500
2011-02-01,308750
2011-03-01,237000
2011-04-01,254000
2011-05-01,222500
2011-06-01,180000
2011-07-01,178500
2011-08-01,170000
2011-09-01,186500
2011-10-01,170000
2011-11-01,205000
2011-12-01,210000
2012-01-01,240000
2012-02-01,220000
2012-03-01,195000
2012-04-01,178250
2012-05-01,159250
2012-06-01,193250
2012-07-01,173500
2012-08-01,170000
2012-09-01,200000
2012-10-01,203000
2012-11-01,203000
2012-12-01,205000
2013-01-01,156750
2013-02-01,167500
2013-03-01,159000
2013-04-01,215000
2013-05-01,192750
2013-06-01,268750
2013-07-01,260750
2013-08-01,250000
2013-09-01,231500
2013-10-01,253500
2013-11-01,232500
2013-12-01,221500
2014-01-01,221500
2014-02-01,205000
2014-03-01,200000
2014-04-01,174750
2014-05-01,209500
2014-06-01,235000
2014-07-01,249750
2014-08-01,252000
2014-09-01,230000
2014-10-01,240000
2014-11-01,243500
2014-12-01,245000
2015-01-01,269000
2015-02-01,285000
2015-03-01,301750
2015-04-01,273250
2015-05-01,247500
2015-06-01,245000
2015-07-01,245000
2015-08-01,272750
2015-09-01,314500
2015-10-01,292500
2015-11-01,296500
2015-12-01,250000
2016-01-01,284250
2016-02-01,299000
2016-03-01,311500
2016-04-01,364000
2016-05-01,330000
2016-06-01,283000
2016-07-01,298000
2016-08-01,320000
2016-09-01,365000
2016-10-01,362500
2016-11-01,358000
2016-12-01,310000
2017-01-01,280000
