date,value
2000-01-01,85000
2000-02-01,85000
2000-03-01,87500
2000-04-01,92000
2000-05-01,95000
2000-06-01,98000
2000-07-01,102500
2000-08-01,98500
2000-09-01,105000
2000-10-01,109000
2000-11-01,99000
2000-12-01,99000
2001-01-01,97000
2001-02-01,115750
2001-03-01,100250
2001-04-01,107500
2001-05-01,108000
2001-06-01,117500
2001-07-01,117500
2001-08-01,118000
2001-09-01,119250
2001-10-01,122000
2001-11-01,122000
2001-12-01,125000
2002-01-01,120000
2002-02-01,120500
2002-03-01,125500
2002-04-01,122000
2002-05-01,123500
2002-06-01,116500
2002-07-01,120000
2002-08-01,120000
2002-09-01,130000
2002-10-01,120000
2002-11-01,126000
2002-12-01,131000
2003-01-01,137000
2003-02-01,135000
2003-03-01,135000
2003-04-01,135000
2003-05-01,135000
2003-06-01,147500
2003-07-01,146500
2003-08-01,150000
2003-09-01,145000
2003-10-01,142000
2003-11-01,142000
2003-12-01,145500
2004-01-01,159500
2004-02-01,156000
2004-03-01,148000
2004-04-01,142250
2004-05-01,146500
2004-06-01,150000
2004-07-01,165000
2004-08-01,170000
2004-09-01,173000
2004-10-01,173000
2004-11-01,170000
2004-12-01,170000
2005-01-01,175000
2005-02-01,175000
2005-03-01,176250
2005-04-01,178250
2005-05-01,178500
2005-06-01,178000
2005-07-01,178000
2005-08-01,175000
2005-09-01,185000
2005-10-01,185000
2005-11-01,200000
2005-12-01,199250
2006-01-01,210000
2006-02-01,200500
2006-03-01,203000
2006-04-01,204750
2006-05-01,212000
2006-06-01,210250
2006-07-01,215000
2006-08-01,219500
2006-09-01,221500
2006-10-01,204250
2006-11-01,200000
2006-12-01,190000
2007-01-01,190000
2007-02-01,195000
2007-03-01,200000
2007-04-01,195000
2007-05-01,198000
2007-06-01,196000
2007-07-01,201500
2007-08-01,193000
2007-09-01,196500
2007-10-01,195000
2007-11-01,191250
2007-12-01,188750
2008-01-01,175000
2008-02-01,195000
2008-03-01,160000
2008-04-01,197500
2008-05-01,195000
2008-06-01,200000
2008-07-01,147000
2008-08-01,133000
2008-09-01,120000
2008-10-01,140000
2008-11-01,87000
2008-12-01,97500
2009-01-01,76000
2009-02-01,68000
2009-03-01,65000
2009-04-01,61500
2009-05-01,70000
2009-06-01,53000
2009-07-01,43750
2009-08-01,38750
2009-09-01,45250
2009-10-01,41500
2009-11-01,55500
2009-12-01,56000
2010-01-01,73500
2010-02-01,83000
2010-03-01,77500
2010-04-01,75000
2010-05-01,60500
2010-06-01,50000
2010-07-01,45000
2010-08-01,60000
2010-09-01,71000
2010-10-01,75000
2010-11-01,71000
2010-12-01,57500
2011-01-01,57500
2011-02-01,50000
2011-03-01,50000
2011-04-01,50000
2011-05-01,48000
2011-06-01,56250
2011-07-01,51250
2011-08-01,52500
2011-09-01,57500
2011-10-01,70000
2011-11-01,40500
2011-12-01,41000
2012-01-01,42000
2012-02-01,44500
2012-03-01,44500
2012-04-01,60000
2012-05-01,63000
2012-06-01,60000
2012-07-01,39000
2012-08-01,35000
2012-09-01,40000
2012-10-01,49000
2012-11-01,52500
2012-12-01,62000
2013-01-01,45500
2013-02-01,42000
2013-03-01,43500
2013-04-01,46000
2013-05-01,51500
2013-06-01,51000
2013-07-01,51000
2013-08-01,49500
2013-09-01,50000
2013-10-01,46000
2013-11-01,50000
2013-12-01,48000
2014-01-01,46000
2014-02-01,44000
2014-03-01,43000
2014-04-01,70000
2014-05-01,45750
2014-06-01,44500
2014-07-01,45750
2014-08-01,55000
2014-09-01,70000
2014-10-01,47500
2014-11-01,47500
2014-12-01,49000
2015-01-01,49000
2015-02-01,54500
2015-03-01,63500
2015-04-01,67500
2015-05-01,70000
2015-06-01,77450
2015-07-01,103500
2015-08-01,78450
2015-09-01,98500
2015-10-01,72500
2015-11-01,72500
2015-12-01,62000
2016-01-01,70000
2016-02-01,65000
2016-03-01,70000
2016-04-01,90000
2016-05-01,78000
2016-06-01,70000
2016-07-01,73500
2016-08-01,95750
2016-09-01,112500
2016-10-01,110000
2016-11-01,98000
2016-12-01,70000
2017-01-01,65000
2017-02-01,67750
