date,value
2000-01-01,115000
2000-02-01,115000
2000-03-01,105500
2000-04-01,89000
2000-05-01,90500
2000-06-01,107500
2000-07-01,114250
2000-08-01,118500
2000-09-01,123000
2000-10-01,125000
2000-11-01,119000
2000-12-01,118000
2001-01-01,108500
2001-02-01,102500
2001-03-01,102500
2001-04-01,115000
2001-05-01,116000
2001-06-01,127000
2001-07-01,110000
2001-08-01,115000
2001-09-01,110000
2001-10-01,119000
2001-11-01,116500
2001-12-01,115750
2002-01-01,110250
2002-02-01,110000
2002-03-01,105500
2002-04-01,121000
2002-05-01,113500
2002-06-01,125000
2002-07-01,126000
2002-08-01,132000
2002-09-01,130000
2002-10-01,121000
2002-11-01,136750
2002-12-01,138500
2003-01-01,152500
2003-02-01,155000
2003-03-01,132500
2003-04-01,130000
2003-05-01,135000
2003-06-01,151000
2003-07-01,165250
2003-08-01,165500
2003-09-01,171500
2003-10-01,166000
2003-11-01,158000
2003-12-01,134000
2004-01-01,126500
2004-02-01,133000
2004-03-01,130500
2004-04-01,140500
2004-05-01,138750
2004-06-01,145000
2004-07-01,165000
2004-08-01,147500
2004-09-01,145000
2004-10-01,150000
2004-11-01,145000
2004-12-01,146000
2005-01-01,145000
2005-02-01,158500
2005-03-01,148000
2005-04-01,140000
2005-05-01,130000
2005-06-01,138000
2005-07-01,146750
2005-08-01,152250
2005-09-01,150000
2005-10-01,166000
2005-11-01,176000
2005-12-01,180000
2006-01-01,165100
2006-02-01,164500
2006-03-01,166000
2006-04-01,165000
2006-05-01,175000
2006-06-01,192000
2006-07-01,188250
2006-08-01,176500
2006-09-01,170500
2006-10-01,173500
2006-11-01,180000
2006-12-01,173000
2007-01-01,179000
2007-02-01,174500
2007-03-01,180000
2007-04-01,189000
2007-05-01,180000
2007-06-01,185000
2007-07-01,187000
2007-08-01,195000
2007-09-01,195250
2007-10-01,193000
2007-11-01,222500
2007-12-01,199500
2008-01-01,194500
2008-02-01,170250
2008-03-01,173500
2008-04-01,190000
2008-05-01,168750
2008-06-01,162000
2008-07-01,164750
2008-08-01,162000
2008-09-01,170000
2008-10-01,183000
2008-11-01,184000
2008-12-01,180000
2009-01-01,160000
2009-02-01,151000
2009-03-01,145000
2009-04-01,130000
2009-05-01,160000
2009-06-01,135000
2009-07-01,152000
2009-08-01,157500
2009-09-01,179500
2009-10-01,180000
2009-11-01,180000
2009-12-01,205000
2010-01-01,200000
2010-02-01,200000
2010-03-01,170000
2010-04-01,120000
2010-05-01,140000
2010-06-01,173500
2010-07-01,168500
2010-08-01,172000
2010-09-01,150000
2010-10-01,170000
2010-11-01,176250
2010-12-01,180000
2011-01-01,165000
2011-02-01,130000
2011-03-01,140000
2011-04-01,110000
2011-05-01,80000
2011-06-01,132000
2011-07-01,132000
2011-08-01,150000
2011-09-01,133500
2011-10-01,132000
2011-11-01,119000
2011-12-01,119000
2012-01-01,119500
2012-02-01,125000
2012-03-01,87500
2012-04-01,106000
2012-05-01,114000
2012-06-01,183000
2012-07-01,125500
2012-08-01,132500
2012-09-01,52000
2012-10-01,98500
2012-11-01,103500
2012-12-01,105000
2013-01-01,140000
2013-02-01,131000
2013-03-01,85750
2013-04-01,51500
2013-05-01,142639
2013-06-01,178500
2013-07-01,123819
2013-08-01,120000
2013-09-01,134000
2013-10-01,170000
2013-11-01,199500
2013-12-01,146000
2014-01-01,109000
2014-02-01,110000
2014-03-01,104250
2014-04-01,107000
2014-05-01,115149
2014-06-01,142000
2014-07-01,157500
2014-08-01,167500
2014-09-01,145000
2014-10-01,155000
2014-11-01,165000
2014-12-01,163500
2015-01-01,161750
2015-02-01,139500
2015-03-01,140000
2015-04-01,170000
2015-05-01,190000
2015-06-01,197000
2015-07-01,176250
2015-08-01,168000
2015-09-01,155000
2015-10-01,155000
2015-11-01,155000
2015-12-01,153500
2016-01-01,155000
2016-02-01,152000
2016-03-01,162000
2016-04-01,161000
2016-05-01,161000
2016-06-01,160500
2016-07-01,173500
2016-08-01,177750
2016-09-01,196000
2016-10-01,173000
2016-11-01,173000
2016-12-01,137500
2017-01-01,175000
2017-02-01,190000
