date,value
2000-01-01,147750
2000-02-01,150000
2000-03-01,155300
2000-04-01,147000
2000-05-01,155500
2000-06-01,156250
2000-07-01,158000
2000-08-01,158500
2000-09-01,165000
2000-10-01,169500
2000-11-01,173750
2000-12-01,175500
2001-01-01,175500
2001-02-01,176500
2001-03-01,168500
2001-04-01,171000
2001-05-01,171000
2001-06-01,185000
2001-07-01,184000
2001-08-01,182500
2001-09-01,187000
2001-10-01,194500
2001-11-01,195000
2001-12-01,193000
2002-01-01,200000
2002-02-01,207500
2002-03-01,207000
2002-04-01,195000
2002-05-01,196500
2002-06-01,200750
2002-07-01,208000
2002-08-01,215000
2002-09-01,215000
2002-10-01,210000
2002-11-01,209000
2002-12-01,214250
2003-01-01,225500
2003-02-01,229500
2003-03-01,234000
2003-04-01,225000
2003-05-01,228000
2003-06-01,230000
2003-07-01,241000
2003-08-01,236000
2003-09-01,240000
2003-10-01,235000
2003-11-01,240000
2003-12-01,245000
2004-01-01,250000
2004-02-01,253000
2004-03-01,250500
2004-04-01,258500
2004-05-01,259500
2004-06-01,265000
2004-07-01,265000
2004-08-01,268500
2004-09-01,266500
2004-10-01,268000
2004-11-01,272000
2004-12-01,274000
2005-01-01,275000
2005-02-01,272500
2005-03-01,275000
2005-04-01,285000
2005-05-01,300000
2005-06-01,303000
2005-07-01,310750
2005-08-01,310000
2005-09-01,304500
2005-10-01,292000
2005-11-01,294500
2005-12-01,303500
2006-01-01,300000
2006-02-01,310000
2006-03-01,315000
2006-04-01,319250
2006-05-01,320000
2006-06-01,315000
2006-07-01,319250
2006-08-01,315000
2006-09-01,314250
2006-10-01,305000
2006-11-01,295000
2006-12-01,286250
2007-01-01,295000
2007-02-01,295000
2007-03-01,299500
2007-04-01,303500
2007-05-01,307000
2007-06-01,299750
2007-07-01,288000
2007-08-01,284000
2007-09-01,275000
2007-10-01,286000
2007-11-01,308500
2007-12-01,288000
2008-01-01,270000
2008-02-01,270000
2008-03-01,292000
2008-04-01,264250
2008-05-01,253000
2008-06-01,215000
2008-07-01,215000
2008-08-01,233000
2008-09-01,227500
2008-10-01,223500
2008-11-01,216000
2008-12-01,195000
2009-01-01,186500
2009-02-01,170000
2009-03-01,170000
2009-04-01,169000
2009-05-01,170000
2009-06-01,162000
2009-07-01,160000
2009-08-01,163500
2009-09-01,164500
2009-10-01,156000
2009-11-01,140000
2009-12-01,150000
2010-01-01,156250
2010-02-01,166750
2010-03-01,150000
2010-04-01,133000
2010-05-01,133000
2010-06-01,154500
2010-07-01,157000
2010-08-01,166000
2010-09-01,146750
2010-10-01,137000
2010-11-01,141750
2010-12-01,142500
2011-01-01,153000
2011-02-01,145000
2011-03-01,131000
2011-04-01,129000
2011-05-01,115000
2011-06-01,129500
2011-07-01,140000
2011-08-01,140000
2011-09-01,140000
2011-10-01,140000
2011-11-01,125000
2011-12-01,125000
2012-01-01,116000
2012-02-01,125000
2012-03-01,134500
2012-04-01,140000
2012-05-01,135000
2012-06-01,117750
2012-07-01,120000
2012-08-01,115500
2012-09-01,123000
2012-10-01,130000
2012-11-01,131000
2012-12-01,134500
2013-01-01,133000
2013-02-01,128250
2013-03-01,125000
2013-04-01,120000
2013-05-01,130500
2013-06-01,131500
2013-07-01,126000
2013-08-01,130000
2013-09-01,138000
2013-10-01,155500
2013-11-01,144149
2013-12-01,148000
2014-01-01,132500
2014-02-01,160000
2014-03-01,160000
2014-04-01,160000
2014-05-01,145000
2014-06-01,148000
2014-07-01,149500
2014-08-01,170000
2014-09-01,172500
2014-10-01,192250
2014-11-01,187500
2014-12-01,179500
2015-01-01,175000
2015-02-01,178500
2015-03-01,188250
2015-04-01,197500
2015-05-01,175000
2015-06-01,177500
2015-07-01,180000
2015-08-01,192500
2015-09-01,200000
2015-10-01,201000
2015-11-01,199000
2015-12-01,195000
2016-01-01,180000
2016-02-01,191000
2016-03-01,195500
2016-04-01,213500
2016-05-01,210000
2016-06-01,210000
2016-07-01,230000
2016-08-01,230000
2016-09-01,237000
2016-10-01,235000
2016-11-01,237750
2016-12-01,220000
2017-01-01,225000
2017-02-01,224500
