date,value
2000-01-01,180000
2000-02-01,172000
2000-03-01,172000
2000-04-01,178000
2000-05-01,190000
2000-06-01,190500
2000-07-01,193500
2000-08-01,199000
2000-09-01,205500
2000-10-01,194000
2000-11-01,192000
2000-12-01,192000
2001-01-01,203000
2001-02-01,201500
2001-03-01,201500
2001-04-01,193000
2001-05-01,192250
2001-06-01,192750
2001-07-01,201000
2001-08-01,211000
2001-09-01,219000
2001-10-01,223000
2001-11-01,225000
2001-12-01,222500
2002-01-01,219500
2002-02-01,217750
2002-03-01,217750
2002-04-01,220000
2002-05-01,225000
2002-06-01,230000
2002-07-01,240000
2002-08-01,245000
2002-09-01,247850
2002-10-01,245000
2002-11-01,248000
2002-12-01,247000
2003-01-01,246000
2003-02-01,245000
2003-03-01,245500
2003-04-01,235000
2003-05-01,250000
2003-06-01,265000
2003-07-01,283500
2003-08-01,265000
2003-09-01,260000
2003-10-01,258000
2003-11-01,265000
2003-12-01,271000
2004-01-01,277000
2004-02-01,278000
2004-03-01,275000
2004-04-01,276000
2004-05-01,267000
2004-06-01,278500
2004-07-01,298000
2004-08-01,282500
2004-09-01,282500
2004-10-01,274000
2004-11-01,296000
2004-12-01,292500
2005-01-01,290000
2005-02-01,298000
2005-03-01,320000
2005-04-01,322500
2005-05-01,320000
2005-06-01,320000
2005-07-01,330000
2005-08-01,330000
2005-09-01,340000
2005-10-01,333750
2005-11-01,340000
2005-12-01,340000
2006-01-01,345000
2006-02-01,348000
2006-03-01,335000
2006-04-01,335000
2006-05-01,320000
2006-06-01,332000
2006-07-01,335000
2006-08-01,345000
2006-09-01,343500
2006-10-01,349000
2006-11-01,350000
2006-12-01,335000
2007-01-01,335000
2007-02-01,347000
2007-03-01,370000
2007-04-01,370000
2007-05-01,342000
2007-06-01,330000
2007-07-01,323750
2007-08-01,327500
2007-09-01,325000
2007-10-01,329000
2007-11-01,329500
2007-12-01,326000
2008-01-01,330000
2008-02-01,300000
2008-03-01,280000
2008-04-01,272000
2008-05-01,255750
2008-06-01,253750
2008-07-01,290000
2008-08-01,305000
2008-09-01,305000
2008-10-01,295000
2008-11-01,280000
2008-12-01,270000
2009-01-01,260000
2009-02-01,243000
2009-03-01,236500
2009-04-01,243500
2009-05-01,238500
2009-06-01,235000
2009-07-01,252000
2009-08-01,247000
2009-09-01,247500
2009-10-01,247250
2009-11-01,242000
2009-12-01,240000
2010-01-01,230500
2010-02-01,241000
2010-03-01,240000
2010-04-01,240000
2010-05-01,242250
2010-06-01,219500
2010-07-01,212500
2010-08-01,197500
2010-09-01,220000
2010-10-01,205000
2010-11-01,216000
2010-12-01,205500
2011-01-01,205500
2011-02-01,177500
2011-03-01,212000
2011-04-01,221500
2011-05-01,217500
2011-06-01,205000
2011-07-01,190000
2011-08-01,206000
2011-09-01,217000
2011-10-01,225000
2011-11-01,219500
2011-12-01,182500
2012-01-01,172000
2012-02-01,168000
2012-03-01,167500
2012-04-01,170500
2012-05-01,173000
2012-06-01,175000
2012-07-01,170000
2012-08-01,197000
2012-09-01,195500
2012-10-01,191500
2012-11-01,191500
2012-12-01,193000
2013-01-01,195000
2013-02-01,185000
2013-03-01,160000
2013-04-01,152000
2013-05-01,169000
2013-06-01,176500
2013-07-01,215000
2013-08-01,215000
2013-09-01,215000
2013-10-01,215000
2013-11-01,210000
2013-12-01,215500
2014-01-01,210000
2014-02-01,219500
2014-03-01,219500
2014-04-01,207500
2014-05-01,222500
2014-06-01,240000
2014-07-01,252500
2014-08-01,252500
2014-09-01,229750
2014-10-01,259000
2014-11-01,248500
2014-12-01,250000
2015-01-01,235000
2015-02-01,238500
2015-03-01,242500
2015-04-01,245000
2015-05-01,260000
2015-06-01,259000
2015-07-01,265000
2015-08-01,274000
2015-09-01,261250
2015-10-01,260000
2015-11-01,250000
2015-12-01,248000
2016-01-01,245000
2016-02-01,245000
2016-03-01,215000
2016-04-01,246500
2016-05-01,259000
2016-06-01,290000
2016-07-01,292500
2016-08-01,294000
2016-09-01,276000
2016-10-01,275000
2016-11-01,275000
2016-12-01,279000
2017-01-01,279500
2017-02-01,290000
