date,value
2000-01-01,124250
2000-02-01,123500
2000-03-01,122000
2000-04-01,126000
2000-05-01,122500
2000-06-01,126500
2000-07-01,126500
2000-08-01,132000
2000-09-01,128000
2000-10-01,129500
2000-11-01,129000
2000-12-01,132500
2001-01-01,135000
2001-02-01,134000
2001-03-01,130500
2001-04-01,130000
2001-05-01,132000
2001-06-01,140000
2001-07-01,141000
2001-08-01,141500
2001-09-01,141000
2001-10-01,143000
2001-11-01,149000
2001-12-01,145000
2002-01-01,147000
2002-02-01,145000
2002-03-01,149000
2002-04-01,155000
2002-05-01,155000
2002-06-01,155000
2002-07-01,149000
2002-08-01,151000
2002-09-01,155000
2002-10-01,165000
2002-11-01,167000
2002-12-01,170000
2003-01-01,170000
2003-02-01,170000
2003-03-01,172750
2003-04-01,160000
2003-05-01,161000
2003-06-01,172750
2003-07-01,180000
2003-08-01,180000
2003-09-01,180000
2003-10-01,180000
2003-11-01,180000
2003-12-01,183750
2004-01-01,190000
2004-02-01,190000
2004-03-01,186500
2004-04-01,186000
2004-05-01,190000
2004-06-01,190000
2004-07-01,196500
2004-08-01,198500
2004-09-01,205000
2004-10-01,211500
2004-11-01,217750
2004-12-01,217500
2005-01-01,223000
2005-02-01,219000
2005-03-01,222000
2005-04-01,225000
2005-05-01,225000
2005-06-01,228000
2005-07-01,225000
2005-08-01,235000
2005-09-01,235500
2005-10-01,239500
2005-11-01,247000
2005-12-01,250000
2006-01-01,250000
2006-02-01,248750
2006-03-01,248000
2006-04-01,251000
2006-05-01,250500
2006-06-01,251000
2006-07-01,250000
2006-08-01,254500
2006-09-01,260000
2006-10-01,260000
2006-11-01,250000
2006-12-01,245000
2007-01-01,244500
2007-02-01,250000
2007-03-01,242750
2007-04-01,242000
2007-05-01,242000
2007-06-01,251500
2007-07-01,255000
2007-08-01,255000
2007-09-01,255000
2007-10-01,251500
2007-11-01,230750
2007-12-01,228500
2008-01-01,231250
2008-02-01,228500
2008-03-01,234000
2008-04-01,217500
2008-05-01,215000
2008-06-01,216500
2008-07-01,225000
2008-08-01,226500
2008-09-01,210000
2008-10-01,206750
2008-11-01,200000
2008-12-01,192250
2009-01-01,175000
2009-02-01,175000
2009-03-01,171000
2009-04-01,166000
2009-05-01,145500
2009-06-01,150500
2009-07-01,150000
2009-08-01,143000
2009-09-01,143000
2009-10-01,131000
2009-11-01,123500
2009-12-01,140000
2010-01-01,147500
2010-02-01,162000
2010-03-01,160000
2010-04-01,165000
2010-05-01,150000
2010-06-01,155000
2010-07-01,150500
2010-08-01,150500
2010-09-01,150000
2010-10-01,129750
2010-11-01,137500
2010-12-01,149000
2011-01-01,131500
2011-02-01,130000
2011-03-01,120500
2011-04-01,126500
2011-05-01,129000
2011-06-01,132000
2011-07-01,125000
2011-08-01,120000
2011-09-01,117750
2011-10-01,116500
2011-11-01,120000
2011-12-01,128500
2012-01-01,127500
2012-02-01,114000
2012-03-01,105000
2012-04-01,99000
2012-05-01,97000
2012-06-01,95000
2012-07-01,95000
2012-08-01,119000
2012-09-01,110000
2012-10-01,123500
2012-11-01,130000
2012-12-01,115000
2013-01-01,105000
2013-02-01,108500
2013-03-01,125000
2013-04-01,123250
2013-05-01,112000
2013-06-01,112000
2013-07-01,120500
2013-08-01,121000
2013-09-01,102000
2013-10-01,110500
2013-11-01,113000
2013-12-01,129000
2014-01-01,130000
2014-02-01,130000
2014-03-01,127000
2014-04-01,138000
2014-05-01,134000
2014-06-01,132500
2014-07-01,140000
2014-08-01,140000
2014-09-01,140000
2014-10-01,144000
2014-11-01,150000
2014-12-01,150000
2015-01-01,150000
2015-02-01,150000
2015-03-01,155000
2015-04-01,169000
2015-05-01,155000
2015-06-01,155000
2015-07-01,150000
2015-08-01,150000
2015-09-01,149500
2015-10-01,152500
2015-11-01,151500
2015-12-01,157000
2016-01-01,177000
2016-02-01,151000
2016-03-01,151000
2016-04-01,150000
2016-05-01,157500
2016-06-01,166000
2016-07-01,167000
2016-08-01,169500
2016-09-01,185000
2016-10-01,172500
2016-11-01,165000
2016-12-01,165000
2017-01-01,156000
2017-02-01,155000
