date,value
2000-01-01,60000
2000-02-01,60000
2000-03-01,60000
2000-04-01,61000
2000-05-01,66000
2000-06-01,65500
2000-07-01,65000
2000-08-01,65000
2000-09-01,71750
2000-10-01,77500
2000-11-01,58250
2000-12-01,58250
2001-01-01,62000
2001-02-01,70500
2001-03-01,67000
2001-04-01,71750
2001-05-01,72000
2001-06-01,73500
2001-07-01,70000
2001-08-01,70000
2001-09-01,70000
2001-10-01,75000
2001-11-01,86000
2001-12-01,65000
2002-01-01,67500
2002-02-01,61250
2002-03-01,65000
2002-04-01,70000
2002-05-01,73000
2002-06-01,75000
2002-07-01,87000
2002-08-01,72500
2002-09-01,70000
2002-10-01,70000
2002-11-01,77500
2002-12-01,78250
2003-01-01,84250
2003-02-01,77000
2003-03-01,85250
2003-04-01,82000
2003-05-01,85000
2003-06-01,87500
2003-07-01,100000
2003-08-01,95000
2003-09-01,101500
2003-10-01,105000
2003-11-01,105000
2003-12-01,91000
2004-01-01,101500
2004-02-01,105000
2004-03-01,105000
2004-04-01,101500
2004-05-01,98500
2004-06-01,99500
2004-07-01,78500
2004-08-01,95000
2004-09-01,115000
2004-10-01,129000
2004-11-01,125000
2004-12-01,107500
2005-01-01,105000
2005-02-01,100000
2005-03-01,111000
2005-04-01,119750
2005-05-01,125000
2005-06-01,134000
2005-07-01,132500
2005-08-01,140000
2005-09-01,140000
2005-10-01,152500
2005-11-01,149750
2005-12-01,144000
2006-01-01,143000
2006-02-01,145000
2006-03-01,145000
2006-04-01,142250
2006-05-01,142000
2006-06-01,141000
2006-07-01,145000
2006-08-01,156000
2006-09-01,155000
2006-10-01,153500
2006-11-01,159250
2006-12-01,165000
2007-01-01,159000
2007-02-01,165000
2007-03-01,142500
2007-04-01,154500
2007-05-01,153750
2007-06-01,154000
2007-07-01,142000
2007-08-01,150000
2007-09-01,152500
2007-10-01,155000
2007-11-01,170000
2007-12-01,165000
2008-01-01,158000
2008-02-01,165000
2008-03-01,166000
2008-04-01,166000
2008-05-01,165000
2008-06-01,150000
2008-07-01,161250
2008-08-01,145000
2008-09-01,115000
2008-10-01,110000
2008-11-01,127500
2008-12-01,50000
2009-01-01,45000
2009-02-01,46500
2009-03-01,48000
2009-04-01,72000
2009-05-01,45000
2009-06-01,35250
2009-07-01,35250
2009-08-01,29500
2009-09-01,24000
2009-10-01,25500
2009-11-01,27000
2009-12-01,38000
2010-01-01,45000
2010-02-01,40000
2010-03-01,40000
2010-04-01,40000
2010-05-01,55000
2010-06-01,51500
2010-07-01,52000
2010-08-01,42000
2010-09-01,42000
2010-10-01,28000
2010-11-01,26500
2010-12-01,26500
2011-01-01,35000
2011-02-01,31500
2011-03-01,35000
2011-04-01,30000
2011-05-01,32500
2011-06-01,45000
2011-07-01,45250
2011-08-01,58500
2011-09-01,60000
2011-10-01,71500
2011-11-01,72500
2011-12-01,20000
2012-01-01,20000
2012-02-01,20000
2012-05-01,112500
2012-06-01,22000
2012-07-01,28500
2012-08-01,25000
2012-09-01,28000
2012-10-01,27000
2012-11-01,26500
2012-12-01,27000
2013-01-01,26500
2013-02-01,26500
2013-03-01,25750
2013-04-01,24500
2013-05-01,32000
2013-06-01,29500
2013-07-01,32000
2013-08-01,24500
2013-09-01,35000
2013-10-01,35000
2013-11-01,67000
2013-12-01,80000
2014-01-01,35000
2014-02-01,39000
2014-03-01,34500
2014-04-01,57000
2014-05-01,40500
2014-06-01,50000
2014-07-01,34000
2014-08-01,39000
2014-09-01,38000
2014-10-01,33250
2014-11-01,40000
2014-12-01,40000
2015-01-01,43500
2015-02-01,60000
2015-03-01,60000
2015-04-01,73250
2015-05-01,53500
2015-06-01,48750
2015-07-01,46250
2015-08-01,50000
2015-09-01,45000
2015-10-01,45000
2015-11-01,32000
2015-12-01,38000
2016-01-01,43000
2016-02-01,59000
2016-03-01,67500
2016-04-01,72000
2016-05-01,39000
2016-06-01,39000
2016-07-01,47600
2016-08-01,90000
2016-09-01,45000
2016-10-01,45000
2016-11-01,49000
2016-12-01,70000
2017-01-01,47500
2017-02-01,45250
