date,value
2000-01-01,131250
2000-02-01,133000
2000-03-01,137250
2000-04-01,128500
2000-05-01,127000
2000-06-01,129500
2000-07-01,119000
2000-08-01,127000
2000-09-01,133500
2000-10-01,135000
2000-11-01,136500
2000-12-01,136000
2001-01-01,135000
2001-02-01,135000
2001-03-01,134000
2001-04-01,133500
2001-05-01,134500
2001-06-01,129500
2001-07-01,133000
2001-08-01,138500
2001-09-01,150000
2001-10-01,150000
2001-11-01,155000
2001-12-01,150000
2002-01-01,156000
2002-02-01,148500
2002-03-01,164000
2002-04-01,153500
2002-05-01,150000
2002-06-01,147000
2002-07-01,154000
2002-08-01,152500
2002-09-01,162750
2002-10-01,150000
2002-11-01,145000
2002-12-01,144750
2003-01-01,147500
2003-02-01,169250
2003-03-01,163000
2003-04-01,170000
2003-05-01,178250
2003-06-01,180000
2003-07-01,180000
2003-08-01,187750
2003-09-01,189000
2003-10-01,186500
2003-11-01,181000
2003-12-01,182000
2004-01-01,174000
2004-02-01,183250
2004-03-01,186750
2004-04-01,194000
2004-05-01,179500
2004-06-01,170750
2004-07-01,178000
2004-08-01,185000
2004-09-01,185000
2004-10-01,180500
2004-11-01,187500
2004-12-01,189250
2005-01-01,189250
2005-02-01,185000
2005-03-01,185000
2005-04-01,185500
2005-05-01,185500
2005-06-01,179000
2005-07-01,179500
2005-08-01,190000
2005-09-01,198000
2005-10-01,199500
2005-11-01,199000
2005-12-01,200000
2006-01-01,210000
2006-02-01,205000
2006-03-01,205000
2006-04-01,209000
2006-05-01,215000
2006-06-01,214250
2006-07-01,214000
2006-08-01,220000
2006-09-01,220000
2006-10-01,220000
2006-11-01,212500
2006-12-01,200000
2007-01-01,219000
2007-02-01,225000
2007-03-01,232000
2007-04-01,237500
2007-05-01,223750
2007-06-01,215000
2007-07-01,215000
2007-08-01,215000
2007-09-01,217000
2007-10-01,215000
2007-11-01,210000
2007-12-01,195000
2008-01-01,195000
2008-02-01,225000
2008-03-01,225000
2008-04-01,225000
2008-05-01,215500
2008-06-01,222500
2008-07-01,219000
2008-08-01,219000
2008-09-01,215000
2008-10-01,211500
2008-11-01,210000
2008-12-01,203750
2009-01-01,192000
2009-02-01,181000
2009-03-01,180500
2009-04-01,180000
2009-05-01,183000
2009-06-01,184750
2009-07-01,200000
2009-08-01,200000
2009-09-01,200000
2009-10-01,200000
2009-11-01,192500
2009-12-01,186000
2010-01-01,169000
2010-02-01,165000
2010-03-01,156000
2010-04-01,148500
2010-05-01,154000
2010-06-01,168000
2010-07-01,170000
2010-08-01,156500
2010-09-01,140500
2010-10-01,141000
2010-11-01,125000
2010-12-01,138500
2011-01-01,135000
2011-02-01,101500
2011-03-01,81750
2011-04-01,72500
2011-05-01,90000
2011-06-01,89000
2011-07-01,75000
2011-08-01,75000
2011-09-01,81500
2011-10-01,84000
2011-11-01,81000
2011-12-01,65000
2012-01-01,60000
2012-02-01,58000
2012-03-01,53000
2012-04-01,57000
2012-05-01,62500
2012-06-01,57000
2012-07-01,58500
2012-08-01,65250
2012-09-01,70000
2012-10-01,75000
2012-11-01,70000
2012-12-01,75000
2013-01-01,68000
2013-02-01,71500
2013-03-01,75000
2013-04-01,83000
2013-05-01,86000
2013-06-01,77000
2013-07-01,86000
2013-08-01,92000
2013-09-01,134500
2013-10-01,113500
2013-11-01,123750
2013-12-01,107000
2014-01-01,115000
2014-02-01,114000
2014-03-01,102000
2014-04-01,99000
2014-05-01,98000
2014-06-01,130000
2014-07-01,136750
2014-08-01,141250
2014-09-01,135000
2014-10-01,131500
2014-11-01,135000
2014-12-01,141500
2015-01-01,150000
2015-02-01,149000
2015-03-01,153500
2015-04-01,152500
2015-05-01,167500
2015-06-01,161000
2015-07-01,171250
2015-08-01,173750
2015-09-01,175000
2015-10-01,179750
2015-11-01,171500
2015-12-01,172500
2016-01-01,157000
2016-02-01,155000
2016-03-01,146000
2016-04-01,156750
2016-05-01,168000
2016-06-01,180000
2016-07-01,169000
2016-08-01,190000
2016-09-01,182500
2016-10-01,171000
2016-11-01,172000
2016-12-01,170000
2017-01-01,191000
2017-02-01,159000
