date,value
2000-01-01,141000
2000-02-01,163750
2000-03-01,164750
2000-04-01,165000
2000-05-01,166000
2000-06-01,166000
2000-07-01,160500
2000-08-01,152500
2000-09-01,155000
2000-10-01,155750
2000-11-01,156000
2000-12-01,157500
2001-01-01,157000
2001-02-01,160000
2001-03-01,169000
2001-04-01,189000
2001-05-01,187250
2001-06-01,190500
2001-07-01,194500
2001-08-01,205000
2001-09-01,200000
2001-10-01,200000
2001-11-01,204250
2001-12-01,214000
2002-01-01,213000
2002-02-01,199000
2002-03-01,198500
2002-04-01,195500
2002-05-01,212500
2002-06-01,224500
2002-07-01,240000
2002-08-01,212500
2002-09-01,200000
2002-10-01,201000
2002-11-01,214000
2002-12-01,213500
2003-01-01,210000
2003-02-01,215000
2003-03-01,199500
2003-04-01,195000
2003-05-01,205000
2003-06-01,223500
2003-07-01,233500
2003-08-01,224000
2003-09-01,221750
2003-10-01,211250
2003-11-01,210000
2003-12-01,217500
2004-01-01,224500
2004-02-01,231000
2004-03-01,235000
2004-04-01,243500
2004-05-01,250000
2004-06-01,240000
2004-07-01,247500
2004-08-01,243000
2004-09-01,238000
2004-10-01,222250
2004-11-01,221750
2004-12-01,202000
2005-01-01,219000
2005-02-01,210000
2005-03-01,228500
2005-04-01,240000
2005-05-01,243500
2005-06-01,244500
2005-07-01,230000
2005-08-01,230000
2005-09-01,238000
2005-10-01,247000
2005-11-01,236000
2005-12-01,223000
2006-01-01,203500
2006-02-01,207000
2006-03-01,233000
2006-04-01,248750
2006-05-01,280000
2006-06-01,255000
2006-07-01,250000
2006-08-01,237500
2006-09-01,239500
2006-10-01,234000
2006-11-01,246000
2006-12-01,252500
2007-01-01,270000
2007-02-01,255000
2007-03-01,269000
2007-04-01,260000
2007-05-01,261500
2007-06-01,250000
2007-07-01,252500
2007-08-01,269000
2007-09-01,269000
2007-10-01,270000
2007-11-01,257000
2007-12-01,244500
2008-01-01,229250
2008-02-01,255000
2008-03-01,255000
2008-04-01,245000
2008-05-01,250000
2008-06-01,265000
2008-07-01,260000
2008-08-01,256000
2008-09-01,250000
2008-10-01,250000
2008-11-01,255000
2008-12-01,258500
2009-01-01,239500
2009-02-01,233500
2009-03-01,201500
2009-04-01,221500
2009-05-01,227500
2009-06-01,244000
2009-07-01,242000
2009-08-01,238500
2009-09-01,226250
2009-10-01,230000
2009-11-01,230000
2009-12-01,222500
2010-01-01,216000
2010-02-01,215000
2010-03-01,180000
2010-04-01,222250
2010-05-01,219000
2010-06-01,226500
2010-07-01,230750
2010-08-01,225000
2010-09-01,230000
2010-10-01,224500
2010-11-01,225000
2010-12-01,238000
2011-01-01,213250
2011-02-01,170000
2011-03-01,166500
2011-04-01,150000
2011-05-01,147500
2011-06-01,145000
2011-07-01,150000
2011-08-01,172000
2011-09-01,200500
2011-10-01,190000
2011-11-01,185000
2011-12-01,139750
2012-01-01,108000
2012-02-01,105000
2012-03-01,100000
2012-04-01,128000
2012-05-01,174000
2012-06-01,184500
2012-07-01,181500
2012-08-01,181500
2012-09-01,190000
2012-10-01,194000
2012-11-01,192000
2012-12-01,192000
2013-01-01,183000
2013-02-01,155000
2013-03-01,146000
2013-04-01,175000
2013-05-01,185000
2013-06-01,182500
2013-07-01,189250
2013-08-01,221500
2013-09-01,223250
2013-10-01,201750
2013-11-01,207500
2013-12-01,210000
2014-01-01,180750
2014-02-01,192500
2014-03-01,188000
2014-04-01,200000
2014-05-01,222000
2014-06-01,231500
2014-07-01,225000
2014-08-01,228250
2014-09-01,222500
2014-10-01,215000
2014-11-01,204000
2014-12-01,199500
2015-01-01,188250
2015-02-01,185000
2015-03-01,171750
2015-04-01,184000
2015-05-01,207000
2015-06-01,255000
2015-07-01,244500
2015-08-01,233000
2015-09-01,224000
2015-10-01,222750
2015-11-01,220000
2015-12-01,213000
2016-01-01,202500
2016-02-01,205000
2016-03-01,199000
2016-04-01,229000
2016-05-01,236500
2016-06-01,247500
2016-07-01,239000
2016-08-01,239500
2016-09-01,231750
2016-10-01,230500
2016-11-01,239750
2016-12-01,242000
2017-01-01,242000
2017-02-01,244000
