date,value
2000-01-01,243000
2000-02-01,267000
2000-03-01,265000
2000-04-01,242500
2000-05-01,225000
2000-06-01,228000
2000-07-01,238250
2000-08-01,240000
2000-09-01,271500
2000-10-01,279000
2000-11-01,270000
2000-12-01,275000
2001-01-01,297500
2001-02-01,313750
2001-03-01,289000
2001-04-01,249250
2001-05-01,240000
2001-06-01,267500
2001-07-01,277250
2001-08-01,322500
2001-09-01,347750
2001-10-01,311500
2001-11-01,295000
2001-12-01,273750
2002-01-01,270000
2002-02-01,288000
2002-03-01,284250
2002-04-01,242500
2002-05-01,242000
2002-06-01,282000
2002-07-01,307000
2002-08-01,333000
2002-09-01,310000
2002-10-01,290000
2002-11-01,268000
2002-12-01,250000
2003-01-01,274500
2003-02-01,292000
2003-03-01,290000
2003-04-01,242250
2003-05-01,237500
2003-06-01,330000
2003-07-01,339000
2003-08-01,330000
2003-09-01,330000
2003-10-01,331250
2003-11-01,327250
2003-12-01,282500
2004-01-01,292500
2004-02-01,306000
2004-03-01,317500
2004-04-01,317750
2004-05-01,327500
2004-06-01,320000
2004-07-01,320000
2004-08-01,323750
2004-09-01,325500
2004-10-01,325000
2004-11-01,327000
2004-12-01,337000
2005-01-01,340000
2005-02-01,345000
2005-03-01,328000
2005-04-01,320000
2005-05-01,317000
2005-06-01,342500
2005-07-01,323000
2005-08-01,337000
2005-09-01,339750
2005-10-01,347500
2005-11-01,346000
2005-12-01,328750
2006-01-01,310000
2006-02-01,333500
2006-03-01,340000
2006-04-01,333500
2006-05-01,317500
2006-06-01,331500
2006-07-01,350000
2006-08-01,342000
2006-09-01,334500
2006-10-01,324000
2006-11-01,321500
2006-12-01,318250
2007-01-01,301000
2007-02-01,320000
2007-03-01,351000
2007-04-01,370000
2007-05-01,314000
2007-06-01,287250
2007-07-01,303000
2007-08-01,325000
2007-09-01,370000
2007-10-01,375000
2007-11-01,367250
2007-12-01,347000
2008-01-01,371000
2008-02-01,392000
2008-03-01,380000
2008-04-01,375000
2008-05-01,375000
2008-06-01,340500
2008-07-01,353000
2008-08-01,370000
2008-09-01,400000
2008-10-01,374250
2008-11-01,347000
2008-12-01,339000
2009-01-01,350750
2009-02-01,425000
2009-03-01,375000
2009-04-01,359000
2009-05-01,341500
2009-06-01,345750
2009-07-01,341500
2009-08-01,345250
2009-09-01,339000
2009-10-01,337000
2009-11-01,335500
2009-12-01,325000
2010-01-01,339500
2010-02-01,356250
2010-03-01,379000
2010-04-01,348750
2010-05-01,334000
2010-06-01,355000
2010-07-01,368500
2010-08-01,390000
2010-09-01,319250
2010-10-01,316000
2010-11-01,299500
2010-12-01,291250
2011-01-01,292500
2011-02-01,305000
2011-03-01,323750
2011-04-01,312500
2011-05-01,295500
2011-06-01,301000
2011-07-01,378000
2011-08-01,450000
2011-09-01,425000
2011-10-01,365000
2011-11-01,342500
2011-12-01,270000
2012-01-01,327000
2012-02-01,344000
2012-03-01,312500
2012-04-01,344000
2012-05-01,356000
2012-06-01,340000
2012-07-01,322500
2012-08-01,312500
2012-09-01,320000
2012-10-01,327500
2012-11-01,355000
2012-12-01,345000
2013-01-01,274000
2013-02-01,274000
2013-03-01,255000
2013-04-01,239250
2013-05-01,281000
2013-06-01,325000
2013-07-01,326000
2013-08-01,393000
2013-09-01,379000
2013-10-01,385000
2013-11-01,335000
2013-12-01,304000
2014-01-01,331250
2014-02-01,295000
2014-03-01,345000
2014-04-01,295000
2014-05-01,345000
2014-06-01,377500
2014-07-01,393500
2014-08-01,392500
2014-09-01,343250
2014-10-01,340750
2014-11-01,357500
2014-12-01,360000
2015-01-01,385000
2015-02-01,405000
2015-03-01,395000
2015-04-01,350750
2015-05-01,377500
2015-06-01,392000
2015-07-01,400000
2015-08-01,395000
2015-09-01,377500
2015-10-01,395000
2015-11-01,385000
2015-12-01,385000
2016-01-01,322500
2016-02-01,292500
2016-03-01,345000
2016-04-01,364000
2016-05-01,423750
2016-06-01,398500
2016-07-01,375000
2016-08-01,364000
2016-09-01,378000
2016-10-01,388500
2016-11-01,400000
2016-12-01,407500
2017-01-01,416500
2017-02-01,430000
