date,value
2000-01-01,81000
2000-02-01,65750
2000-03-01,64500
2000-04-01,64500
2000-05-01,68000
2000-06-01,68500
2000-07-01,69000
2000-08-01,68500
2000-09-01,69000
2000-10-01,70750
2000-11-01,72750
2000-12-01,70000
2001-01-01,70000
2001-02-01,66000
2001-03-01,67000
2001-04-01,72000
2001-05-01,72000
2001-06-01,72000
2001-07-01,74000
2001-08-01,75000
2001-09-01,75000
2001-10-01,70000
2001-11-01,73000
2001-12-01,69000
2002-01-01,68000
2002-02-01,68000
2002-03-01,70250
2002-04-01,75500
2002-05-01,75000
2002-06-01,74000
2002-07-01,65000
2002-08-01,70000
2002-09-01,73000
2002-10-01,75500
2002-11-01,72100
2002-12-01,72100
2003-01-01,71000
2003-02-01,74500
2003-03-01,65500
2003-04-01,74500
2003-05-01,67250
2003-06-01,70500
2003-07-01,70000
2003-08-01,74500
2003-09-01,71000
2003-10-01,74000
2003-11-01,77000
2003-12-01,85000
2004-01-01,71750
2004-02-01,73000
2004-03-01,77500
2004-04-01,89500
2004-05-01,91000
2004-06-01,91500
2004-07-01,92000
2004-08-01,88000
2004-09-01,88500
2004-10-01,91000
2004-11-01,96000
2004-12-01,89000
2005-01-01,85000
2005-02-01,90000
2005-03-01,91000
2005-04-01,91000
2005-05-01,88000
2005-06-01,94250
2005-07-01,96000
2005-08-01,95250
2005-09-01,91000
2005-10-01,95500
2005-11-01,98000
2005-12-01,100000
2006-01-01,100000
2006-02-01,101500
2006-03-01,102000
2006-04-01,101000
2006-05-01,103000
2006-06-01,103500
2006-07-01,105000
2006-08-01,110000
2006-09-01,108000
2006-10-01,110000
2006-11-01,110500
2006-12-01,119000
2007-01-01,118000
2007-02-01,110500
2007-03-01,130000
2007-04-01,115000
2007-05-01,114000
2007-06-01,112000
2007-07-01,115000
2007-08-01,113000
2007-09-01,113000
2007-10-01,113000
2007-11-01,115000
2007-12-01,115000
2008-01-01,116000
2008-02-01,116000
2008-03-01,117500
2008-04-01,122500
2008-05-01,130000
2008-06-01,127500
2008-07-01,115000
2008-08-01,96000
2008-09-01,115000
2008-10-01,119000
2008-11-01,111000
2008-12-01,105000
2009-01-01,91000
2009-02-01,77500
2009-03-01,37250
2009-04-01,30500
2009-05-01,29500
2009-06-01,30500
2009-07-01,35000
2009-08-01,35000
2009-09-01,130000
2009-10-01,95000
2009-11-01,130000
2009-12-01,68500
2010-01-01,95000
2010-02-01,95000
2010-03-01,94000
2010-04-01,95000
2010-05-01,61250
2010-06-01,69000
2010-07-01,51750
2010-08-01,41250
2010-09-01,41000
2010-10-01,40000
2010-11-01,44000
2010-12-01,37750
2011-01-01,28500
2011-02-01,28000
2011-03-01,31000
2011-04-01,37500
2011-05-01,55250
2011-06-01,29500
2011-07-01,28000
2011-08-01,29000
2011-09-01,69250
2011-10-01,69250
2011-11-01,26500
2011-12-01,26500
2012-01-01,26500
2012-02-01,48000
2012-03-01,26250
2012-04-01,29750
2012-05-01,24500
2012-06-01,26000
2012-07-01,25000
2012-08-01,23000
2012-09-01,23000
2012-10-01,28000
2012-11-01,30000
2012-12-01,35250
2013-01-01,35500
2013-02-01,35000
2013-03-01,31500
2013-04-01,33000
2013-05-01,40000
2013-06-01,30500
2013-07-01,24500
2013-08-01,20750
2013-09-01,34250
2013-10-01,77000
2013-11-01,97000
2013-12-01,119000
2014-01-01,122500
2014-02-01,72500
2014-03-01,25000
2014-04-01,25000
2014-05-01,31000
2014-06-01,32000
2014-07-01,61000
2014-08-01,54500
2014-09-01,60500
2014-10-01,59000
2014-11-01,64500
2014-12-01,59000
2015-01-01,95000
2015-02-01,28500
2015-03-01,30000
2015-04-01,31000
2015-05-01,35000
2015-06-01,36500
2015-07-01,47500
2015-08-01,28750
2015-09-01,55000
2015-10-01,44000
2015-11-01,55000
2015-12-01,48500
2016-01-01,48500
2016-02-01,70000
2016-03-01,69500
2016-04-01,80000
2016-05-01,69500
2016-06-01,80000
2016-07-01,32000
2016-08-01,32000
2016-09-01,35254
2016-10-01,90000
2016-11-01,100000
2016-12-01,35000
2017-01-01,28500
2017-02-01,33000
