,date,value,community
228,2015-10-01,155000,70
229,2015-11-01,160000,70
230,2015-12-01,160000,70
231,2016-01-01,165000,70
232,2016-02-01,168000,70
233,2016-03-01,175000,70
234,2016-04-01,175000,70
235,2016-05-01,160000,70
236,2016-06-01,158000,70
237,2016-07-01,175000,70
238,2016-08-01,175000,70
239,2016-09-01,164500,70
240,2016-10-01,163000,70
241,2016-11-01,167500,70
242,2016-12-01,172000,70
243,2017-01-01,169000,70
244,2012-01-01,73000,71
245,2012-02-01,60500,71
246,2012-03-01,56750,71
247,2012-04-01,60500,71
248,2012-05-01,94000,71
249,2012-06-01,105000,71
250,2012-07-01,105000,71
251,2012-08-01,110000,71
252,2012-09-01,82000,71
253,2012-10-01,75000,71
254,2012-11-01,68000,71
255,2012-12-01,80000,71
256,2013-01-01,113500,71
257,2013-02-01,140250,71
258,2013-03-01,115000,71
259,2013-04-01,110000,71
260,2013-05-01,106500,71
261,2013-06-01,66000,71
262,2013-07-01,55000,71
263,2013-08-01,51649,71
264,2013-09-01,79000,71
265,2013-10-01,122000,71
266,2013-11-01,120000,71
267,2013-12-01,115000,71
268,2014-01-01,107500,71
269,2014-02-01,107500,71
270,2014-03-01,80500,71
271,2014-04-01,63500,71
272,2014-05-01,68450,71
273,2014-06-01,92500,71
274,2014-07-01,115000,71
275,2014-08-01,117000,71
276,2014-09-01,115000,71
277,2014-10-01,127500,71
278,2014-11-01,135000,71
279,2014-12-01,127500,71
280,2015-01-01,129000,71
281,2015-02-01,119000,71
282,2015-03-01,109000,71
283,2015-04-01,119000,71
284,2015-05-01,124750,71
285,2015-06-01,123000,71
286,2015-07-01,78250,71
287,2015-08-01,129000,71
288,2015-09-01,137000,71
289,2015-10-01,137500,71
290,2015-11-01,118000,71
291,2015-12-01,125000,71
292,2016-01-01,99000,71
293,2016-02-01,139500,71
294,2016-03-01,100000,71
295,2016-04-01,135000,71
296,2016-05-01,105000,71
297,2016-06-01,147500,71
298,2016-07-01,139000,71
299,2016-08-01,139000,71
300,2016-09-01,136000,71
301,2016-10-01,124000,71
302,2016-11-01,144000,71
303,2016-12-01,146000,71
304,2017-01-01,150000,71
305,2012-01-01,60000,25
306,2012-02-01,60250,25
307,2012-03-01,51500,25
308,2012-04-01,50750,25
309,2012-05-01,49500,25
310,2012-06-01,50000,25
311,2012-07-01,50500,25
312,2012-08-01,62000,25
313,2012-09-01,62500,25
314,2012-10-01,64250,25
315,2012-11-01,52500,25
316,2012-12-01,48000,25
317,2013-01-01,50000,25
318,2013-02-01,61000,25
319,2013-03-01,55000,25
320,2013-04-01,55000,25
321,2013-05-01,87250,25
322,2013-06-01,89500,25
323,2013-07-01,76500,25
324,2013-08-01,62000,25
325,2013-09-01,64500,25
326,2013-10-01,102250,25
327,2013-11-01,94500,25
328,2013-12-01,79000,25
329,2014-01-01,60000,25
330,2014-02-01,48250,25
331,2014-03-01,62000,25
332,2014-04-01,59299,25
333,2014-05-01,68500,25
334,2014-06-01,66500,25
335,2014-07-01,82500,25
336,2014-08-01,80000,25
337,2014-09-01,86500,25
338,2014-10-01,77000,25
339,2014-11-01,94500,25
340,2014-12-01,94500,25
341,2015-01-01,82000,25
342,2015-02-01,81000,25
343,2015-03-01,70000,25
344,2015-04-01,71000,25
345,2015-05-01,70500,25
346,2015-06-01,90000,25
347,2015-07-01,100500,25
348,2015-08-01,124500,25
349,2015-09-01,122500,25
350,2015-10-01,125000,25
351,2015-11-01,105000,25
352,2015-12-01,125000,25
353,2016-01-01,104500,25
354,2016-02-01,100000,25
355,2016-03-01,90000,25
356,2016-04-01,90000,25
357,2016-05-01,100000,25
358,2016-06-01,100000,25
359,2016-07-01,112000,25
360,2016-08-01,112500,25
361,2016-09-01,127500,25
362,2016-10-01,127500,25
363,2016-11-01,125000,25
364,2016-12-01,82500,25
365,2017-01-01,96000,25
366,2012-01-01,116000,45
367,2012-02-01,87500,45
368,2012-03-01,75000,45
369,2012-04-01,48750,45
370,2012-05-01,75000,45
371,2012-06-01,121000,45
372,2012-07-01,130000,45
373,2012-08-01,155750,45
374,2012-09-01,155000,45
375,2012-10-01,128000,45
376,2012-11-01,60000,45
377,2012-12-01,56000,45
