,community,date,value
295,61,2012,3328250
296,62,2012,1844500
297,62,2013,1976500
298,62,2014,1330000
299,62,2015,1381750
300,62,2016,1655500
301,63,2015,870900
302,63,2014,811000
303,63,2016,1068500
304,63,2012,1318000
305,63,2013,1440602
306,64,2012,1949500
307,64,2013,2281204
308,64,2014,1403250
309,64,2015,1592250
310,64,2016,1829250
311,65,2015,1479447
312,65,2014,1444250
313,65,2016,1619250
314,65,2012,1790500
315,65,2013,2031000
316,66,2012,1022000
317,66,2013,1401500
318,66,2014,642500
319,66,2015,731750
320,66,2016,856000
321,67,2012,482000
322,67,2013,370944
323,67,2014,409250
324,67,2015,473800
325,67,2016,366000
326,68,2016,644500
327,68,2014,528500
328,68,2015,638500
329,68,2012,568500
330,68,2013,644000
331,69,2012,1395000
332,69,2013,1299000
333,69,2014,1056750
334,69,2015,792800
335,69,2016,1217750
336,70,2015,2684700
337,70,2014,2630500
338,70,2016,3231250
339,70,2012,3578250
340,70,2013,4095000
341,71,2013,1554000
342,71,2014,969750
343,71,2015,1193899
344,71,2016,1256950
345,71,2012,1448500
346,72,2012,3450250
347,72,2013,3374000
348,72,2014,2773500
349,72,2015,2985250
350,72,2016,3403750
351,73,2015,1165250
352,73,2016,1310250
353,73,2013,1681500
354,73,2012,1657000
355,73,2014,1291000
356,74,2012,2339500
357,74,2013,2470250
358,74,2014,2054500
359,74,2015,2110249
360,74,2016,2329500
361,75,2016,1640899
362,75,2014,1352000
363,75,2015,1622708
364,75,2012,1961000
365,75,2013,1982250
366,76,2012,1407500
367,76,2013,1415500
368,76,2014,811000
369,76,2015,871500
370,76,2016,1191450
371,77,2015,1813000
372,77,2012,2354000
373,77,2013,2304500
374,77,2014,1576300
375,77,2016,2151000
