,Index Crime Rate,Neighborhood,Year
1,3914.254190090714,1,2012
2,2796.7404373794943,2,2012
3,4240.389482231999,3,2012
4,3300.690286094409,4,2012
5,3760.0356544281713,5,2012
6,4968.27474432077,6,2012
7,5301.583139810921,7,2012
8,8144.494053789208,8,2012
9,1074.056173137855,9,2012
10,1881.074868948149,10,2012
11,2712.313429893824,11,2012
12,1824.8764574787713,12,2012
13,3519.6245733788974,13,2012
14,2865.693947066094,14,2012
15,3365.6435110394,15,2012
16,3955.8565414074887,16,2012
17,2291.957140401502,17,2012
18,3026.063908113666,18,2012
19,3791.3946753098094,19,2012
20,3885.4423801481844,20,2012
21,4576.884912904075,21,2012
22,5545.415279151816,22,2012
23,7829.784419078699,23,2012
24,7128.131878542358,24,2012
25,8680.053298758194,25,2012
26,13578.54730723507,26,2012
27,11509.837009002858,27,2012
28,9513.30483937737,28,2012
29,11084.949108828603,29,2012
30,3315.9412151606,30,2012
31,4628.245487533938,31,2012
32,15416.483585461163,32,2012
33,4628.4218764463085,33,2012
34,5562.549404221756,34,2012
35,7895.561609488876,35,2012
36,5833.73018572695,36,2012
37,19947.961838681706,37,2012
38,8617.526649157842,38,2012
39,5468.917379881166,39,2012
40,13435.786024646088,40,2012
41,4638.9510816166885,41,2012
42,8384.31202061893,42,2012
43,11409.177965456725,43,2012
44,11864.224644543083,44,2012
45,9697.175910173528,45,2012
46,9768.358996447027,46,2012
47,9681.734966906039,47,2012
48,8154.204908965696,48,2012
49,9016.656511202358,49,2012
50,7722.173056610302,50,2012
51,6997.990877497896,51,2012
52,3215.5603452037035,52,2012
53,8721.691668377262,53,2012
54,10779.493174706906,54,2012
55,3260.2886157135376,55,2012
56,3149.5464302216624,56,2012
57,4563.310393714745,57,2012
58,3367.8551316345415,58,2012
59,4478.188135375118,59,2012
60,3322.4166708816624,60,2012
61,6842.514950522081,61,2012
62,3655.6565623888105,62,2012
63,3791.7580468700767,63,2012
64,2210.243513042598,64,2012
65,4125.340121126957,65,2012
66,6854.998604767874,66,2012
67,12447.242292009218,67,2012
68,13267.03873293387,68,2012
69,11828.552865413925,69,2012
70,3479.908362413216,70,2012
71,8313.955946391738,71,2012
72,3385.533336048512,72,2012
73,7094.450683498958,73,2012
74,1666.0051390252647,74,2012
75,5947.945255275377,75,2012
76,5899.659337256158,76,2012
77,3139.8052923503888,77,2012
1,3533.3532914721645,1,2013
2,2538.9541521052547,2,2013
3,3602.968713391438,3,2013
4,2997.2055930279744,4,2013
5,3355.4519030968368,5,2013
6,4254.3347203162275,6,2013
7,4541.4239057809045,7,2013
8,7187.214247837099,8,2013
9,985.1863793504926,9,2013
10,1506.9564367404005,10,2013
11,2460.048885080578,11,2013
12,1354.045210065071,12,2013
13,2911.6754242204274,13,2013
14,2560.950830951115,14,2013
15,2923.499667499046,15,2013
16,3600.276587772201,16,2013
17,2111.6801712276374,17,2013
18,2269.39970717424,18,2013
19,3356.4487783617865,19,2013
20,3588.2916131354787,20,2013
21,3796.335893083575,21,2013
22,4741.811202528647,22,2013
23,6562.668905965919,23,2013
24,6299.046478072459,24,2013
25,7711.445198312522,25,2013
26,11306.045248429979,26,2013
27,10052.36215857135,27,2013
28,8094.796898620857,28,2013
29,9339.719866960586,29,2013
30,2946.414074143507,30,2013
31,4502.799605892432,31,2013
32,14198.452558708837,32,2013
33,3742.8419150206964,33,2013
34,4616.376905070793,34,2013
35,8434.590700388044,35,2013
36,4487.748276568153,36,2013
37,16514.302565614827,37,2013
38,8723.807439607484,38,2013
39,4388.0482232928825,39,2013
