community,crime_freq,date
1,3914.254190090714,2012
2,2796.7404373794943,2012
3,4240.389482231999,2012
4,3300.690286094409,2012
5,3760.0356544281713,2012
6,4968.27474432077,2012
7,5301.583139810921,2012
8,8144.494053789208,2012
9,1074.056173137855,2012
10,1881.074868948149,2012
11,2712.313429893824,2012
12,1824.8764574787713,2012
13,3519.6245733788974,2012
14,2865.693947066094,2012
15,3365.6435110394,2012
16,3955.8565414074887,2012
17,2291.957140401502,2012
18,3026.063908113666,2012
19,3791.3946753098094,2012
20,3885.4423801481844,2012
21,4576.884912904075,2012
22,5545.415279151816,2012
23,7829.784419078699,2012
24,7128.131878542358,2012
25,8680.053298758194,2012
26,13578.54730723507,2012
27,11509.837009002858,2012
28,9513.30483937737,2012
29,11084.949108828603,2012
30,3315.9412151606,2012
31,4628.245487533938,2012
32,15416.483585461163,2012
33,4628.4218764463085,2012
34,5562.549404221756,2012
35,7895.561609488876,2012
36,5833.73018572695,2012
37,19947.961838681706,2012
38,8617.526649157842,2012
39,5468.917379881166,2012
40,13435.786024646088,2012
41,4638.9510816166885,2012
42,8384.31202061893,2012
43,11409.177965456725,2012
44,11864.224644543083,2012
45,9697.175910173528,2012
46,9768.358996447027,2012
47,9681.734966906039,2012
48,8154.204908965696,2012
49,9016.656511202358,2012
50,7722.173056610302,2012
51,6997.990877497896,2012
52,3215.5603452037035,2012
53,8721.691668377262,2012
54,10779.493174706906,2012
55,3260.2886157135376,2012
56,3149.5464302216624,2012
57,4563.310393714745,2012
58,3367.8551316345415,2012
59,4478.188135375118,2012
60,3322.4166708816624,2012
61,6842.514950522081,2012
62,3655.6565623888105,2012
63,3791.7580468700767,2012
64,2210.243513042598,2012
65,4125.340121126957,2012
66,6854.998604767874,2012
67,12447.242292009218,2012
68,13267.03873293387,2012
69,11828.552865413925,2012
70,3479.908362413216,2012
71,8313.955946391738,2012
72,3385.533336048512,2012
73,7094.450683498958,2012
74,1666.0051390252647,2012
75,5947.945255275377,2012
76,5899.659337256158,2012
77,3139.8052923503888,2012
1,3533.3532914721645,2013
2,2538.9541521052547,2013
3,3602.968713391438,2013
4,2997.2055930279744,2013
5,3355.4519030968368,2013
6,4254.3347203162275,2013
7,4541.4239057809045,2013
8,7187.214247837099,2013
9,985.1863793504926,2013
10,1506.9564367404005,2013
11,2460.048885080578,2013
12,1354.045210065071,2013
13,2911.6754242204274,2013
14,2560.950830951115,2013
15,2923.499667499046,2013
16,3600.276587772201,2013
17,2111.6801712276374,2013
18,2269.39970717424,2013
19,3356.4487783617865,2013
20,3588.2916131354787,2013
21,3796.335893083575,2013
22,4741.811202528647,2013
23,6562.668905965919,2013
24,6299.046478072459,2013
25,7711.445198312522,2013
26,11306.045248429979,2013
27,10052.36215857135,2013
28,8094.796898620857,2013
29,9339.719866960586,2013
30,2946.414074143507,2013
31,4502.799605892432,2013
32,14198.452558708837,2013
33,3742.8419150206964,2013
34,4616.376905070793,2013
35,8434.590700388044,2013
36,4487.748276568153,2013
37,16514.302565614827,2013
38,8723.807439607484,2013
39,4388.0482232928825,2013
40,13414.26790313373,2013
41,4272.9615351526445,2013
42,7648.496614312048,2013
43,10354.680804580135,2013
44,11936.653415151595,2013
45,8407.097530414978,2013
46,8685.719807029784,2013
47,8313.70869906518,2013
48,6358.53958703672,2013
49,8424.236390615522,2013
50,7478.601267856571,2013
51,7177.872352128309,2013
52,2559.200654455434,2013
53,7756.355347783455,2013
54,9628.184321377159,2013
55,3304.898331455534,2013
56,2788.1750821174965,2013
57,4890.693729484361,2013
58,2867.8293278951182,2013
59,4307.731992003627,2013
60,2863.78127195113,2013
61,6013.211994176689,2013
