date,value
2000-01-01,104500
2000-02-01,112000
2000-03-01,99750
2000-04-01,77000
2000-05-01,73500
2000-06-01,105000
2000-07-01,127500
2000-08-01,137500
2000-09-01,150250
2000-10-01,142000
2000-11-01,135500
2000-12-01,128750
2001-01-01,129000
2001-02-01,106000
2001-03-01,118750
2001-04-01,107750
2001-05-01,107750
2001-06-01,108000
2001-07-01,107250
2001-08-01,153000
2001-09-01,136000
2001-10-01,166000
2001-11-01,127500
2001-12-01,103000
2002-01-01,123500
2002-02-01,171500
2002-03-01,188000
2002-04-01,188000
2002-05-01,132000
2002-06-01,136000
2002-07-01,132000
2002-08-01,160000
2002-09-01,157500
2002-10-01,168000
2002-11-01,155000
2002-12-01,168500
2003-01-01,166000
2003-02-01,163500
2003-03-01,143250
2003-04-01,145000
2003-05-01,145000
2003-06-01,156000
2003-07-01,175000
2003-08-01,171000
2003-09-01,184750
2003-10-01,167000
2003-11-01,169500
2003-12-01,176500
2004-01-01,165000
2004-02-01,180000
2004-03-01,180000
2004-04-01,190000
2004-05-01,205000
2004-06-01,225000
2004-07-01,205000
2004-08-01,201000
2004-09-01,190000
2004-10-01,187000
2004-11-01,205000
2004-12-01,186000
2005-01-01,193000
2005-02-01,225000
2005-03-01,247500
2005-04-01,238000
2005-05-01,224000
2005-06-01,203000
2005-07-01,231000
2005-08-01,247000
2005-09-01,254000
2005-10-01,236000
2005-11-01,215000
2005-12-01,227500
2006-01-01,230000
2006-02-01,235000
2006-03-01,258500
2006-04-01,293500
2006-05-01,280000
2006-06-01,290000
2006-07-01,277500
2006-08-01,265000
2006-09-01,259000
2006-10-01,259000
2006-11-01,259000
2006-12-01,245000
2007-01-01,262500
2007-02-01,260000
2007-03-01,250000
2007-04-01,260000
2007-05-01,259750
2007-06-01,250000
2007-07-01,282250
2007-08-01,280000
2007-09-01,317000
2007-10-01,306000
2007-11-01,276000
2007-12-01,270000
2008-01-01,270000
2008-02-01,279000
2008-03-01,288000
2008-04-01,288000
2008-05-01,278250
2008-06-01,342000
2008-07-01,267000
2008-08-01,240000
2008-09-01,215000
2008-10-01,222000
2008-11-01,243250
2008-12-01,225750
2009-01-01,218000
2009-02-01,218000
2009-03-01,218000
2009-04-01,215000
2009-05-01,205000
2009-06-01,205000
2009-07-01,150000
2009-08-01,150000
2009-09-01,190000
2009-10-01,222500
2009-11-01,255000
2009-12-01,237000
2010-01-01,190750
2010-02-01,214000
2010-03-01,194000
2010-04-01,200000
2010-05-01,185000
2010-06-01,106000
2010-07-01,179500
2010-08-01,177250
2010-09-01,183500
2010-10-01,187000
2010-11-01,189000
2010-12-01,185000
2011-01-01,170000
2011-02-01,158000
2011-03-01,200000
2011-04-01,146000
2011-05-01,120000
2011-06-01,100000
2011-07-01,105000
2011-08-01,127000
2011-09-01,135000
2011-10-01,78000
2011-11-01,110000
2011-12-01,78000
2012-01-01,115000
2012-02-01,153000
2012-03-01,153000
2012-04-01,144000
2012-05-01,112500
2012-06-01,155000
2012-07-01,125000
2012-08-01,125000
2012-09-01,125000
2012-10-01,137500
2012-11-01,91000
2012-12-01,165500
2013-01-01,131000
2013-02-01,160000
2013-03-01,160000
2013-04-01,166750
2013-05-01,162000
2013-06-01,237500
2013-07-01,198000
2013-08-01,179000
2013-09-01,141500
2013-10-01,137000
2013-11-01,124250
2013-12-01,129250
2014-01-01,130000
2014-02-01,186000
2014-03-01,225000
2014-04-01,225000
2014-05-01,180000
2014-06-01,180000
2014-07-01,180000
2014-08-01,159500
2014-09-01,154750
2014-10-01,224000
2014-11-01,201000
2014-12-01,201000
2015-01-01,175000
2015-02-01,159000
2015-03-01,181500
2015-04-01,175000
2015-05-01,204000
2015-06-01,195000
2015-07-01,340250
2015-08-01,324750
2015-09-01,273500
2015-10-01,185500
2015-11-01,193500
2015-12-01,192250
2016-01-01,193500
2016-02-01,204500
2016-03-01,204000
2016-04-01,251250
2016-05-01,225000
2016-06-01,275000
2016-07-01,208750
2016-08-01,215000
2016-09-01,235000
2016-10-01,250000
2016-11-01,225000
2016-12-01,200000
2017-01-01,200000
