,date,value,community
196,2016-05-01,237500,Armour Square
197,2016-06-01,240000,Armour Square
198,2016-07-01,242000,Armour Square
199,2016-08-01,242000,Armour Square
200,2016-09-01,259000,Armour Square
201,2016-10-01,275000,Armour Square
202,2016-11-01,314000,Armour Square
203,2016-12-01,274000,Armour Square
204,2017-01-01,270000,Armour Square
144,2012-01-01,113000,Ashburn
145,2012-02-01,105000,Ashburn
146,2012-03-01,102000,Ashburn
147,2012-04-01,101000,Ashburn
148,2012-05-01,101000,Ashburn
149,2012-06-01,120000,Ashburn
150,2012-07-01,101500,Ashburn
151,2012-08-01,98000,Ashburn
152,2012-09-01,91250,Ashburn
153,2012-10-01,120000,Ashburn
154,2012-11-01,103000,Ashburn
155,2012-12-01,124500,Ashburn
156,2013-01-01,119000,Ashburn
157,2013-02-01,104000,Ashburn
158,2013-03-01,100000,Ashburn
159,2013-04-01,87000,Ashburn
160,2013-05-01,89000,Ashburn
161,2013-06-01,102000,Ashburn
162,2013-07-01,125000,Ashburn
163,2013-08-01,131000,Ashburn
164,2013-09-01,123000,Ashburn
165,2013-10-01,117000,Ashburn
166,2013-11-01,114000,Ashburn
167,2013-12-01,117500,Ashburn
168,2014-01-01,115500,Ashburn
169,2014-02-01,115000,Ashburn
170,2014-03-01,120000,Ashburn
171,2014-04-01,148500,Ashburn
172,2014-05-01,148500,Ashburn
173,2014-06-01,134000,Ashburn
174,2014-07-01,129500,Ashburn
175,2014-08-01,132000,Ashburn
176,2014-09-01,138000,Ashburn
177,2014-10-01,130500,Ashburn
178,2014-11-01,130000,Ashburn
179,2014-12-01,129000,Ashburn
180,2015-01-01,130000,Ashburn
181,2015-02-01,134000,Ashburn
182,2015-03-01,130000,Ashburn
183,2015-04-01,138500,Ashburn
184,2015-05-01,130000,Ashburn
185,2015-06-01,122000,Ashburn
186,2015-07-01,135000,Ashburn
187,2015-08-01,140000,Ashburn
188,2015-09-01,155000,Ashburn
189,2015-10-01,155000,Ashburn
190,2015-11-01,160000,Ashburn
191,2015-12-01,160000,Ashburn
192,2016-01-01,165000,Ashburn
193,2016-02-01,168000,Ashburn
194,2016-03-01,175000,Ashburn
195,2016-04-01,175000,Ashburn
196,2016-05-01,160000,Ashburn
197,2016-06-01,158000,Ashburn
198,2016-07-01,175000,Ashburn
199,2016-08-01,175000,Ashburn
200,2016-09-01,164500,Ashburn
201,2016-10-01,163000,Ashburn
202,2016-11-01,167500,Ashburn
203,2016-12-01,172000,Ashburn
204,2017-01-01,169000,Ashburn
144,2012-01-01,73000,Auburn Gresham
145,2012-02-01,60500,Auburn Gresham
146,2012-03-01,56750,Auburn Gresham
147,2012-04-01,60500,Auburn Gresham
148,2012-05-01,94000,Auburn Gresham
149,2012-06-01,105000,Auburn Gresham
150,2012-07-01,105000,Auburn Gresham
151,2012-08-01,110000,Auburn Gresham
152,2012-09-01,82000,Auburn Gresham
153,2012-10-01,75000,Auburn Gresham
154,2012-11-01,68000,Auburn Gresham
155,2012-12-01,80000,Auburn Gresham
156,2013-01-01,113500,Auburn Gresham
157,2013-02-01,140250,Auburn Gresham
158,2013-03-01,115000,Auburn Gresham
159,2013-04-01,110000,Auburn Gresham
160,2013-05-01,106500,Auburn Gresham
161,2013-06-01,66000,Auburn Gresham
162,2013-07-01,55000,Auburn Gresham
163,2013-08-01,51649,Auburn Gresham
164,2013-09-01,79000,Auburn Gresham
165,2013-10-01,122000,Auburn Gresham
166,2013-11-01,120000,Auburn Gresham
167,2013-12-01,115000,Auburn Gresham
168,2014-01-01,107500,Auburn Gresham
169,2014-02-01,107500,Auburn Gresham
