date,value
2000-01-01,83000
2000-02-01,83000
2000-03-01,92000
2000-04-01,87500
2000-05-01,75000
2000-06-01,80500
2000-07-01,86000
2000-08-01,114000
2000-09-01,73500
2000-10-01,45000
2000-11-01,61500
2000-12-01,45000
2001-01-01,78000
2001-02-01,53500
2001-03-01,55000
2001-04-01,55000
2001-05-01,67000
2001-06-01,61000
2001-07-01,65500
2001-08-01,65000
2001-09-01,66000
2001-10-01,95000
2001-11-01,90000
2001-12-01,66000
2002-01-01,66000
2002-02-01,87000
2002-03-01,110000
2002-04-01,86750
2002-05-01,86500
2002-06-01,54000
2002-07-01,54000
2002-08-01,50500
2002-09-01,59750
2002-10-01,63000
2002-11-01,63000
2003-02-01,45000
2003-03-01,88000
2003-04-01,88000
2003-05-01,100500
2003-06-01,86250
2003-07-01,90000
2003-08-01,90000
2003-09-01,102500
2003-10-01,100250
2003-11-01,72500
2003-12-01,102250
2004-01-01,111000
2004-02-01,140000
2004-03-01,108000
2004-04-01,104000
2004-05-01,103000
2004-06-01,92500
2004-07-01,105000
2004-08-01,110000
2004-09-01,141500
2004-10-01,113500
2004-11-01,112000
2004-12-01,112000
2005-01-01,115000
2005-02-01,148000
2005-03-01,148000
2005-04-01,125000
2005-05-01,130000
2005-06-01,127500
2005-07-01,128500
2005-08-01,121500
2005-09-01,115000
2005-10-01,135000
2005-11-01,137000
2005-12-01,135000
2006-01-01,155500
2006-02-01,140000
2006-03-01,155500
2006-04-01,170000
2006-05-01,159000
2006-06-01,133750
2006-07-01,138750
2006-08-01,147000
2006-09-01,155000
2006-10-01,161250
2006-11-01,161250
2006-12-01,146000
2007-01-01,148000
2007-02-01,172500
2007-03-01,195000
2007-04-01,150000
2007-05-01,126500
2007-06-01,144500
2007-07-01,171250
2007-08-01,180000
2007-09-01,170000
2007-10-01,170000
2007-11-01,160000
2007-12-01,160000
2008-01-01,95000
2008-02-01,115000
2008-03-01,104000
2008-04-01,155000
2008-05-01,151750
2008-06-01,151750
2008-07-01,144250
2008-08-01,135500
2008-09-01,144000
2008-10-01,144000
2008-11-01,192750
2008-12-01,180500
2009-01-01,180500
2009-02-01,220000
2009-03-01,197500
2009-04-01,197500
2009-05-01,143000
2009-06-01,143000
2009-07-01,94500
2009-08-01,94500
2009-09-01,94500
2009-10-01,134000
2009-11-01,140000
2009-12-01,115000
2010-01-01,107500
2010-02-01,115000
2010-03-01,99000
2010-04-01,104000
2010-05-01,122000
2010-06-01,77000
2010-07-01,95000
2010-08-01,120000
2010-09-01,215000
2010-10-01,167500
2010-11-01,91500
2010-12-01,80750
2011-01-01,60000
2011-02-01,70000
2011-03-01,50000
2011-04-01,71000
2011-05-01,25000
2011-06-01,123000
2011-07-01,151500
2011-08-01,123000
2011-09-01,130000
2011-10-01,80000
2012-03-01,117000
2012-04-01,141500
2012-05-01,141500
2012-06-01,166000
2012-07-01,157500
2012-08-01,157500
2012-09-01,89250
2012-10-01,33500
2012-11-01,33500
2012-12-01,48000
2013-01-01,35250
2013-02-01,35250
2013-04-01,1680000
2013-05-01,1680000
2013-06-01,1680000
2013-07-01,120000
2013-08-01,25000
2013-09-01,25000
2013-10-01,28750
2013-11-01,85250
2013-12-01,85250
2014-01-01,85000
2014-02-01,33500
2014-03-01,33500
2014-04-01,31750
2014-05-01,68000
2014-06-01,68000
2014-07-01,68000
2014-09-01,128250
2014-10-01,128250
2014-11-01,128250
2014-12-01,90000
2015-01-01,107250
2015-02-01,107250
2015-03-01,125000
2015-04-01,105000
2015-05-01,105000
2015-08-01,121500
2015-09-01,113330
2015-10-01,113330
2015-11-01,100000
2015-12-01,83250
2016-01-01,39750
2016-02-01,27000
2016-03-01,86000
2016-04-01,145000
2016-05-01,135500
2016-06-01,135500
2016-07-01,135500
2016-08-01,130250
2016-09-01,80000
2016-10-01,84500
2016-11-01,84500
2016-12-01,145000
2017-01-01,145000
