date,value
2000-01-01,153500
2000-02-01,153500
2000-03-01,158250
2000-04-01,150000
2000-05-01,160000
2000-06-01,169000
2000-07-01,169500
2000-08-01,169250
2000-09-01,136500
2000-10-01,155000
2000-11-01,170000
2000-12-01,172500
2001-01-01,169000
2001-02-01,174250
2001-03-01,180000
2001-04-01,176500
2001-05-01,160000
2001-06-01,160000
2001-07-01,171000
2001-08-01,180250
2001-09-01,184000
2001-10-01,177000
2001-11-01,181000
2001-12-01,185500
2002-01-01,186000
2002-02-01,190500
2002-03-01,178000
2002-04-01,178000
2002-05-01,148750
2002-06-01,195000
2002-07-01,205000
2002-08-01,200000
2002-09-01,175500
2002-10-01,167500
2002-11-01,186000
2002-12-01,185000
2003-01-01,182000
2003-02-01,185000
2003-03-01,195000
2003-04-01,190000
2003-05-01,195000
2003-06-01,190000
2003-07-01,212500
2003-08-01,227000
2003-09-01,235000
2003-10-01,234500
2003-11-01,225000
2003-12-01,204000
2004-01-01,220000
2004-02-01,213500
2004-03-01,205500
2004-04-01,212000
2004-05-01,231000
2004-06-01,265000
2004-07-01,255000
2004-08-01,255750
2004-09-01,260000
2004-10-01,265000
2004-11-01,265000
2004-12-01,261000
2005-01-01,261000
2005-02-01,250000
2005-03-01,263500
2005-04-01,263500
2005-05-01,241000
2005-06-01,250000
2005-07-01,270000
2005-08-01,290000
2005-09-01,269750
2005-10-01,264000
2005-11-01,264500
2005-12-01,277500
2006-01-01,270000
2006-02-01,287500
2006-03-01,292000
2006-04-01,292000
2006-05-01,295000
2006-06-01,296500
2006-07-01,333750
2006-08-01,325000
2006-09-01,323000
2006-10-01,319500
2006-11-01,310500
2006-12-01,308000
2007-01-01,315000
2007-02-01,335000
2007-03-01,325000
2007-04-01,325000
2007-05-01,286000
2007-06-01,293750
2007-07-01,280000
2007-08-01,300000
2007-09-01,309500
2007-10-01,326250
2007-11-01,309250
2007-12-01,272250
2008-01-01,236000
2008-02-01,236000
2008-03-01,271500
2008-04-01,302000
2008-05-01,290000
2008-06-01,272500
2008-07-01,297500
2008-08-01,327500
2008-09-01,328250
2008-10-01,323750
2008-11-01,262000
2008-12-01,235000
2009-01-01,169500
2009-02-01,164500
2009-03-01,179000
2009-04-01,185000
2009-05-01,182500
2009-06-01,174000
2009-07-01,166000
2009-08-01,166000
2009-09-01,240000
2009-10-01,240000
2009-11-01,255000
2009-12-01,200000
2010-01-01,231500
2010-02-01,196750
2010-03-01,199750
2010-04-01,187500
2010-05-01,168000
2010-06-01,177250
2010-07-01,204000
2010-08-01,192000
2010-09-01,192000
2010-10-01,170000
2010-11-01,185000
2010-12-01,160000
2011-01-01,148000
2011-02-01,159000
2011-03-01,154500
2011-04-01,173500
2011-05-01,171250
2011-06-01,119000
2011-07-01,119500
2011-08-01,115250
2011-09-01,150000
2011-10-01,198000
2011-11-01,211000
2011-12-01,195000
2012-01-01,162000
2012-02-01,116500
2012-03-01,120000
2012-04-01,110000
2012-05-01,126000
2012-06-01,150000
2012-07-01,175000
2012-08-01,150000
2012-09-01,110250
2012-10-01,115000
2012-11-01,128000
2012-12-01,141000
2013-01-01,134500
2013-02-01,125000
2013-03-01,125000
2013-04-01,125000
2013-05-01,115000
2013-06-01,149000
2013-07-01,130000
2013-08-01,132500
2013-09-01,122500
2013-10-01,115000
2013-11-01,133000
2013-12-01,165000
2014-01-01,174750
2014-02-01,163250
2014-03-01,125000
2014-04-01,125000
2014-05-01,187000
2014-06-01,178500
2014-07-01,257500
2014-08-01,232000
2014-09-01,231000
2014-10-01,202500
2014-11-01,223500
2014-12-01,224000
2015-01-01,239000
2015-02-01,235500
2015-03-01,200500
2015-04-01,200500
2015-05-01,248250
2015-06-01,268000
2015-07-01,225000
2015-08-01,200750
2015-09-01,214500
2015-10-01,238500
2015-11-01,245000
2015-12-01,236000
2016-01-01,212500
2016-02-01,220000
2016-03-01,177750
2016-04-01,173250
2016-05-01,173250
2016-06-01,225000
2016-07-01,263000
2016-08-01,263000
2016-09-01,262000
2016-10-01,255000
2016-11-01,250000
2016-12-01,265000
2017-01-01,270000
