date,value
2000-01-01,83000
2000-02-01,68000
2000-03-01,75000
2000-04-01,82000
2000-05-01,90000
2000-06-01,92250
2000-07-01,94250
2000-08-01,94750
2000-09-01,94000
2000-10-01,85000
2000-11-01,85000
2000-12-01,101000
2001-01-01,110000
2001-02-01,116500
2001-03-01,126500
2001-04-01,99500
2001-05-01,97000
2001-06-01,89500
2001-07-01,87000
2001-08-01,85000
2001-09-01,76312
2001-10-01,79750
2001-11-01,85500
2001-12-01,87000
2002-01-01,96000
2002-02-01,87000
2002-03-01,105000
2002-04-01,105000
2002-05-01,105500
2002-06-01,118500
2002-07-01,115000
2002-08-01,112000
2002-09-01,116500
2002-10-01,115500
2002-11-01,116500
2002-12-01,108750
2003-01-01,125000
2003-02-01,125500
2003-03-01,122000
2003-04-01,118500
2003-05-01,119250
2003-06-01,121000
2003-07-01,119000
2003-08-01,118000
2003-09-01,114000
2003-10-01,120000
2003-11-01,123500
2003-12-01,124000
2004-01-01,124000
2004-02-01,125000
2004-03-01,124000
2004-04-01,126000
2004-05-01,119500
2004-06-01,119000
2004-07-01,130000
2004-08-01,135000
2004-09-01,135500
2004-10-01,125500
2004-11-01,133000
2004-12-01,130000
2005-01-01,135000
2005-02-01,132500
2005-03-01,130750
2005-04-01,125000
2005-05-01,126500
2005-06-01,130000
2005-07-01,137000
2005-08-01,140000
2005-09-01,140000
2005-10-01,141000
2005-11-01,152500
2005-12-01,165000
2006-01-01,160000
2006-02-01,163500
2006-03-01,165000
2006-04-01,166500
2006-05-01,165000
2006-06-01,165000
2006-07-01,165500
2006-08-01,170000
2006-09-01,167500
2006-10-01,165000
2006-11-01,165000
2006-12-01,169000
2007-01-01,175000
2007-02-01,182500
2007-03-01,180000
2007-04-01,186000
2007-05-01,170000
2007-06-01,166000
2007-07-01,175000
2007-08-01,175000
2007-09-01,176500
2007-10-01,167000
2007-11-01,165000
2007-12-01,165000
2008-01-01,170000
2008-02-01,179000
2008-03-01,200000
2008-04-01,203500
2008-05-01,204000
2008-06-01,179500
2008-07-01,160000
2008-08-01,165000
2008-09-01,173750
2008-10-01,178250
2008-11-01,125500
2008-12-01,126250
2009-01-01,119750
2009-02-01,116000
2009-03-01,110000
2009-04-01,88500
2009-05-01,89000
2009-06-01,89000
2009-07-01,87000
2009-08-01,77500
2009-09-01,71250
2009-10-01,71000
2009-11-01,53750
2009-12-01,48500
2010-01-01,45000
2010-02-01,64500
2010-03-01,66000
2010-04-01,61500
2010-05-01,54250
2010-06-01,58500
2010-07-01,63750
2010-08-01,105000
2010-09-01,100000
2010-10-01,85000
2010-11-01,65000
2010-12-01,58000
2011-01-01,69000
2011-02-01,87500
2011-03-01,105000
2011-04-01,107500
2011-05-01,129000
2011-06-01,53000
2011-07-01,47500
2011-08-01,45000
2011-09-01,52500
2011-10-01,52500
2011-11-01,60000
2011-12-01,60000
2012-01-01,50000
2012-02-01,68000
2012-03-01,72500
2012-04-01,100000
2012-05-01,81000
2012-06-01,49500
2012-07-01,50750
2012-08-01,51000
2012-09-01,60000
2012-10-01,59000
2012-11-01,45500
2012-12-01,41250
2013-01-01,42250
2013-02-01,40000
2013-03-01,41000
2013-04-01,35000
2013-05-01,34000
2013-06-01,40000
2013-07-01,43000
2013-08-01,41250
2013-09-01,45000
2013-10-01,58500
2013-11-01,72750
2013-12-01,75000
2014-01-01,72500
2014-02-01,100000
2014-03-01,60500
2014-04-01,47000
2014-05-01,41500
2014-06-01,41000
2014-07-01,50000
2014-08-01,42000
2014-09-01,50000
2014-10-01,92000
2014-11-01,93500
2014-12-01,70000
2015-01-01,52000
2015-02-01,76000
2015-03-01,76250
2015-04-01,60000
2015-05-01,48250
2015-06-01,46750
2015-07-01,81000
2015-08-01,81000
2015-09-01,132500
2015-10-01,98000
2015-11-01,129250
2015-12-01,85000
2016-01-01,99500
2016-02-01,86000
2016-03-01,86000
2016-04-01,81500
2016-05-01,110000
2016-06-01,75000
2016-07-01,98500
2016-08-01,110000
2016-09-01,87000
2016-10-01,92500
2016-11-01,71500
2016-12-01,101500
2017-01-01,98000
